#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229790,13826891,2,D292_gp02,P100A_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229790,13826892,3,D292_gp03,P100A_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1229790,13826893,4,D292_gp04,P100A_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229790,13826894,5,D292_gp05,P100A_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229790,13826895,6,D292_gp06,P100A_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229790,13826896,7,D292_gp07,P100A_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229790,13826897,8,D292_gp08,P100A_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229790,13826898,9,D292_gp09,P100A_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229790,13826899,10,D292_gp10,P100A_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229790,13826900,11,D292_gp11,P100A_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229790,13826901,13,D292_gp12,P100A_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229790,13826902,14,D292_gp14,P100A_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229790,13826903,12,D292_gp13,P100A_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229790,13826904,15,D292_gp15,P100A_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229790,13826905,16,D292_gp16,P100A_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229790,13826906,17,D292_gp17,P100A_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229790,13826907,18,D292_gp18,P100A_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229790,13826908,19,D292_gp19,P100A_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229790,13826909,20,D292_gp20,P100A_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1229790,13826910,21,D292_gp21,P100A_21,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1229790,13826911,22,D292_gp22,P100A_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229790,13826912,23,D292_gp23,P100A_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
