#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301696,54999140,2,HOT93_gp002,SEA_HORUS_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210403,-
2301696,54999141,3,HOT93_gp003,SEA_HORUS_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2301696,54999142,4,HOT93_gp004,SEA_HORUS_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2301696,54999143,5,HOT93_gp005,SEA_HORUS_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2301696,54999144,6,HOT93_gp006,SEA_HORUS_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
2301696,54999145,7,HOT93_gp007,SEA_HORUS_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2301696,54999146,8,HOT93_gp008,SEA_HORUS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999147,9,HOT93_gp009,SEA_HORUS_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999148,10,HOT93_gp010,SEA_HORUS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999149,11,HOT93_gp011,SEA_HORUS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999150,12,HOT93_gp012,SEA_HORUS_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999151,13,HOT93_gp013,SEA_HORUS_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2301696,54999152,14,HOT93_gp014,SEA_HORUS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999153,16,HOT93_gp015,SEA_HORUS_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210403,-
2301696,54999154,17,HOT93_gp017,SEA_HORUS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999155,15,HOT93_gp016,SEA_HORUS_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2301696,54999156,18,HOT93_gp018,SEA_HORUS_18,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2301696,54999157,19,HOT93_gp019,SEA_HORUS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301696,54999158,20,HOT93_gp020,SEA_HORUS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301696,54999159,21,HOT93_gp021,SEA_HORUS_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301696,54999160,22,HOT93_gp022,SEA_HORUS_22,-,-,-,"lysin A, peptidase domain",protein-coding,-,-,-,"lysin A, peptidase domain",20210403,-
2301696,54999161,23,HOT93_gp023,SEA_HORUS_23,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210403,-
2301696,54999162,24,HOT93_gp024,SEA_HORUS_24,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2301696,54999163,25,HOT93_gp025,SEA_HORUS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999164,26,HOT93_gp026,SEA_HORUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999165,27,HOT93_gp027,SEA_HORUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999166,28,HOT93_gp028,SEA_HORUS_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210403,-
2301696,54999167,29,HOT93_gp029,SEA_HORUS_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2301696,54999168,30,HOT93_gp030,SEA_HORUS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301696,54999169,31,HOT93_gp031,SEA_HORUS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
