#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500808,24723735,ACQ77_gp02,ACQ77_gp02,PHL082M00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500808,24723736,ACQ77_gp03,ACQ77_gp03,PHL082M00_03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1500808,24723737,ACQ77_gp04,ACQ77_gp04,PHL082M00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723738,ACQ77_gp05,ACQ77_gp05,PHL082M00_05,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500808,24723739,ACQ77_gp06,ACQ77_gp06,PHL082M00_06,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20210424,-
1500808,24723740,ACQ77_gp07,ACQ77_gp07,PHL082M00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723741,ACQ77_gp08,ACQ77_gp08,PHL082M00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723742,ACQ77_gp09,ACQ77_gp09,PHL082M00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723743,ACQ77_gp10,ACQ77_gp10,PHL082M00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723744,ACQ77_gp11,ACQ77_gp11,PHL082M00_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500808,24723745,ACQ77_gp12,ACQ77_gp12,PHL082M00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723746,ACQ77_gp13,ACQ77_gp13,PHL082M00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723747,ACQ77_gp14,ACQ77_gp14,PHL082M00_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500808,24723748,ACQ77_gp15,ACQ77_gp15,PHL082M00_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500808,24723749,ACQ77_gp16,ACQ77_gp16,PHL082M00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500808,24723750,ACQ77_gp17,ACQ77_gp17,PHL082M00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723751,ACQ77_gp18,ACQ77_gp18,PHL082M00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500808,24723752,ACQ77_gp19,ACQ77_gp19,PHL082M00_19,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20210424,-
1500808,24723753,ACQ77_gp20,ACQ77_gp20,PHL082M00_20,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500808,24723754,ACQ77_gp21,ACQ77_gp21,PHL082M00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210424,-
1500808,24723755,ACQ77_gp22,ACQ77_gp22,PHL082M00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
