#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656520,65064086,KMC29_gp002,KMC29_gp002,pSeSNUABM01_002,-,-,-,putative DNA topoisomerase,protein-coding,-,-,-,putative DNA topoisomerase,20210608,-
2656520,65064087,KMC29_gp003,KMC29_gp003,pSeSNUABM01_003,-,-,-,putative type II DNA topoiomerase,protein-coding,-,-,-,putative type II DNA topoiomerase,20210609,-
2656520,65064088,KMC29_gp004,KMC29_gp004,pSeSNUABM01_004,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210608,-
2656520,65064089,KMC29_gp005,KMC29_gp005,pSeSNUABM01_005,-,-,-,putative type II topoisomerase large subunit,protein-coding,-,-,-,putative type II topoisomerase large subunit,20210608,-
2656520,65064090,KMC29_gp006,KMC29_gp006,pSeSNUABM01_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064091,KMC29_gp007,KMC29_gp007,pSeSNUABM01_007,-,-,-,zinc ribbon domain containing protein,protein-coding,-,-,-,zinc ribbon domain containing protein,20210609,-
2656520,65064092,KMC29_gp008,KMC29_gp008,pSeSNUABM01_008,-,-,-,putative mRNA metabolism modulator,protein-coding,-,-,-,putative mRNA metabolism modulator,20210608,-
2656520,65064093,KMC29_gp009,KMC29_gp009,pSeSNUABM01_009,-,-,-,putative modifier of suppressor tRNAs,protein-coding,-,-,-,putative modifier of suppressor tRNAs,20210608,-
2656520,65064094,KMC29_gp010,KMC29_gp010,pSeSNUABM01_010,-,-,-,putative MotB-like protein,protein-coding,-,-,-,putative MotB-like protein,20210608,-
2656520,65064095,KMC29_gp011,KMC29_gp011,pSeSNUABM01_011,-,-,-,putative MotB-like protein,protein-coding,-,-,-,putative MotB-like protein,20210608,-
2656520,65064096,KMC29_gp012,KMC29_gp012,pSeSNUABM01_012,-,-,-,putative MotB-like protein,protein-coding,-,-,-,putative MotB-like protein,20210608,-
2656520,65064097,KMC29_gp013,KMC29_gp013,pSeSNUABM01_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064098,KMC29_gp014,KMC29_gp014,pSeSNUABM01_014,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210608,-
2656520,65064099,KMC29_gp015,KMC29_gp015,pSeSNUABM01_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064100,KMC29_gp016,KMC29_gp016,pSeSNUABM01_016,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210608,-
2656520,65064101,KMC29_gp017,KMC29_gp017,pSeSNUABM01_017,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210608,-
2656520,65064102,KMC29_gp018,KMC29_gp018,pSeSNUABM01_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064103,KMC29_gp019,KMC29_gp019,pSeSNUABM01_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064104,KMC29_gp020,KMC29_gp020,pSeSNUABM01_020,-,-,-,putative RNA polymerase,protein-coding,-,-,-,putative RNA polymerase,20210608,-
2656520,65064105,KMC29_gp021,KMC29_gp021,pSeSNUABM01_021,-,-,-,putative ADP ribosylase,protein-coding,-,-,-,putative ADP ribosylase,20210608,-
2656520,65064106,KMC29_gp022,KMC29_gp022,pSeSNUABM01_022,-,-,-,putative molybdenum ABC transporter,protein-coding,-,-,-,putative molybdenum ABC transporter,20210608,-
2656520,65064107,KMC29_gp023,KMC29_gp023,pSeSNUABM01_023,-,-,-,putative molybdenum ABC transporter,protein-coding,-,-,-,putative molybdenum ABC transporter,20210608,-
2656520,65064108,KMC29_gp024,KMC29_gp024,pSeSNUABM01_024,-,-,-,putative molybdenum ABC transporter,protein-coding,-,-,-,putative molybdenum ABC transporter,20210608,-
2656520,65064109,KMC29_gp025,KMC29_gp025,pSeSNUABM01_025,-,-,-,putative transcription modulator,protein-coding,-,-,-,putative transcription modulator,20210608,-
2656520,65064110,KMC29_gp026,KMC29_gp026,pSeSNUABM01_026,-,-,-,putative transcription modulator,protein-coding,-,-,-,putative transcription modulator,20210608,-
2656520,65064111,KMC29_gp027,KMC29_gp027,pSeSNUABM01_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064112,KMC29_gp028,KMC29_gp028,pSeSNUABM01_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064113,KMC29_gp029,KMC29_gp029,pSeSNUABM01_029,-,-,-,putative small outer capsid protein,protein-coding,-,-,-,putative small outer capsid protein,20210608,-
2656520,65064114,KMC29_gp030,KMC29_gp030,pSeSNUABM01_030,-,-,-,putative small outer capsid protein,protein-coding,-,-,-,putative small outer capsid protein,20210608,-
2656520,65064115,KMC29_gp031,KMC29_gp031,pSeSNUABM01_031,-,-,-,putative small outer capsid protein,protein-coding,-,-,-,putative small outer capsid protein,20210608,-
2656520,65064116,KMC29_gp032,KMC29_gp032,pSeSNUABM01_032,-,-,-,putative dCTP pyrophosphatase,protein-coding,-,-,-,putative dCTP pyrophosphatase,20210609,-
2656520,65064117,KMC29_gp033,KMC29_gp033,pSeSNUABM01_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064118,KMC29_gp034,KMC29_gp034,pSeSNUABM01_034,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210608,-
