#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
194948,1481731,ant,Stx1_p157,-,-,-,-,Ant protein,protein-coding,-,-,-,Ant protein,20210212,-
194948,1481732,bet,Stx1_p107,-,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20201220,-
194948,1481733,bor,Stx1_p163,-,-,-,-,serum resistance lipoprotein Bor,protein-coding,-,-,-,serum resistance lipoprotein Bor,20210212,-
194948,1481735,cIII,Stx1_p113,-,-,-,-,protease FtsH-inhibitory lysogeny factor CIII,protein-coding,-,-,-,protease FtsH-inhibitory lysogeny factor CIII,20201220,-
194948,1481736,ea10,Stx1_p114,-,-,-,-,DUF2528 family protein,protein-coding,-,-,-,DUF2528 family protein,20210212,-
194948,1481737,gam,Stx1_p111,-,-,-,-,Gam protein,protein-coding,-,-,-,Gam protein,20210417,-
194948,1481738,kil,Stx1_p112,-,-,-,-,host cell division inhibitory peptide Kil,protein-coding,-,-,-,host cell division inhibitory peptide Kil,20210417,-
194948,1481739,N,Stx1_p117,-,-,-,-,N protein,protein-coding,-,-,-,N protein,20201220,-
194948,1481740,O,Stx1_p125,-,-,-,-,O protein,protein-coding,-,-,-,O protein,20201220,-
194948,1481741,P,Stx1_p127,-,-,-,-,P protein,protein-coding,-,-,-,P protein,20201220,-
194948,1481742,Q,Stx1_p140,-,-,-,-,Q protein,protein-coding,-,-,-,Q protein,20201220,-
194948,1481743,R,Stx1_p155,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201220,-
194948,1481744,Rz,Stx1_p159,-,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20210417,-
194948,1481745,Rz1,Stx1_p162,-,-,-,-,Rz1 protein precursor,protein-coding,-,-,-,Rz1 protein precursor,20201220,-
194948,1481746,S,Stx1_p153,-,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20201220,-
194948,1481747,stx1A,Stx1_p142,-,-,-,-,Shiga toxin Stx1 subunit A,protein-coding,-,-,-,Shiga toxin Stx1 subunit A,20210212,-
194948,1481748,stx1B,Stx1_p143,-,-,-,-,Shiga toxin Stx1a subunit B,protein-coding,-,-,-,Shiga toxin Stx1a subunit B,20210212,-
194948,2653154,Stx1_p052,Stx1_p052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653155,Stx1_p051,Stx1_p051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653156,Stx1_p022,Stx1_p022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653157,Stx1_p134,Stx1_p134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653158,Stx1_p089,Stx1_p089,-,-,-,-,DUF551 domain-containing protein,protein-coding,-,-,-,DUF551 domain-containing protein,20210417,-
194948,2653159,Stx1_p046,Stx1_p046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653160,Stx1_p057,Stx1_p057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653161,Stx1_p003,Stx1_p003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653162,Stx1_p041,Stx1_p041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653163,Stx1_p151,Stx1_p151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653164,Stx1_p047,Stx1_p047,-,-,-,-,bacteriocin,protein-coding,-,-,-,bacteriocin,20201220,-
194948,2653165,Stx1_p050,Stx1_p050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653166,Stx1_p015,Stx1_p015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653167,Stx1_p013,Stx1_p013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653168,Stx1_p061,Stx1_p061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653169,Stx1_p093,Stx1_p093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653170,Stx1_p149,Stx1_p149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653171,Stx1_p034,Stx1_p034,-,-,-,-,host specificity protein J,protein-coding,-,-,-,host specificity protein J,20201220,-
194948,2653172,Stx1_p059,Stx1_p059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653173,Stx1_p016,Stx1_p016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653174,Stx1_p004,Stx1_p004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653175,Stx1_p071,Stx1_p071,-,-,-,-,YgiW/YdeI family stress tolerance OB fold protein,protein-coding,-,-,-,YgiW/YdeI family stress tolerance OB fold protein,20210212,-
194948,2653176,Stx1_p048,Stx1_p048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653177,Stx1_p025,Stx1_p025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653178,Stx1_p099,Stx1_p099,-,-,-,-,TraR/DksA family transcriptional regulator,protein-coding,-,-,-,TraR/DksA family transcriptional regulator,20201220,-
194948,2653179,Stx1_p036,Stx1_p036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653180,Stx1_p028,Stx1_p028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653181,Stx1_p019,Stx1_p019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653182,Stx1_p073,Stx1_p073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653183,Stx1_p104,Stx1_p104,-,-,-,-,YqaJ viral recombinase family protein,protein-coding,-,-,-,YqaJ viral recombinase family protein,20210612,-
194948,2653184,Stx1_p002,Stx1_p002,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
194948,2653185,Stx1_p067,Stx1_p067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653186,Stx1_p161,Stx1_p161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653187,Stx1_p138,Stx1_p138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653188,Stx1_p080,Stx1_p080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653189,Stx1_p146,Stx1_p146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653190,Stx1_p010,Stx1_p010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653191,Stx1_p038,Stx1_p038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653192,Stx1_p091,Stx1_p091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653193,Stx1_p085,Stx1_p085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
194948,2653194,Stx1_p020,Stx1_p020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653195,Stx1_p141,Stx1_p141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653196,Stx1_p164,Stx1_p164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653197,Stx1_p087,Stx1_p087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653198,Stx1_p156,Stx1_p156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653199,Stx1_p014,Stx1_p014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653200,Stx1_p102,Stx1_p102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653201,Stx1_p105,Stx1_p105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653202,Stx1_p032,Stx1_p032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653203,Stx1_p088,Stx1_p088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653204,Stx1_p017,Stx1_p017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653205,Stx1_p035,Stx1_p035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
194948,2653206,Stx1_p139,Stx1_p139,-,-,-,-,protein ninH,protein-coding,-,-,-,protein ninH,20201220,-
