#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2707031,60330608,2,I5H57_gp02,SEA_LASTJEDI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2707031,60330609,3,I5H57_gp03,SEA_LASTJEDI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2707031,60330610,4,I5H57_gp04,SEA_LASTJEDI_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2707031,60330611,5,I5H57_gp05,SEA_LASTJEDI_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2707031,60330612,6,I5H57_gp06,SEA_LASTJEDI_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201129,-
2707031,60330613,7,I5H57_gp07,SEA_LASTJEDI_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2707031,60330614,8,I5H57_gp08,SEA_LASTJEDI_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2707031,60330615,9,I5H57_gp09,SEA_LASTJEDI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2707031,60330616,10,I5H57_gp10,SEA_LASTJEDI_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2707031,60330617,11,I5H57_gp11,SEA_LASTJEDI_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2707031,60330618,13,I5H57_gp12,SEA_LASTJEDI_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2707031,60330619,14,I5H57_gp14,SEA_LASTJEDI_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210406,-
2707031,60330620,12,I5H57_gp13,SEA_LASTJEDI_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2707031,60330621,15,I5H57_gp15,SEA_LASTJEDI_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2707031,60330622,16,I5H57_gp16,SEA_LASTJEDI_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2707031,60330623,17,I5H57_gp17,SEA_LASTJEDI_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330624,18,I5H57_gp18,SEA_LASTJEDI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2707031,60330625,19,I5H57_gp19,SEA_LASTJEDI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330626,20,I5H57_gp20,SEA_LASTJEDI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330627,21,I5H57_gp21,SEA_LASTJEDI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330628,22,I5H57_gp22,SEA_LASTJEDI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330629,23,I5H57_gp23,SEA_LASTJEDI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330630,24,I5H57_gp24,SEA_LASTJEDI_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2707031,60330631,25,I5H57_gp25,SEA_LASTJEDI_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2707031,60330632,26,I5H57_gp26,SEA_LASTJEDI_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2707031,60330633,27,I5H57_gp27,SEA_LASTJEDI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2707031,60330634,28,I5H57_gp28,SEA_LASTJEDI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330635,29,I5H57_gp29,SEA_LASTJEDI_29,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2707031,60330636,30,I5H57_gp30,SEA_LASTJEDI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330637,31,I5H57_gp31,SEA_LASTJEDI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330638,33,I5H57_gp33,SEA_LASTJEDI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2707031,60330639,34,I5H57_gp34,SEA_LASTJEDI_34,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210529,-
2707031,60330640,35,I5H57_gp35,SEA_LASTJEDI_35,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
2707031,60330641,36,I5H57_gp36,SEA_LASTJEDI_36,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2707031,60330642,37,I5H57_gp37,SEA_LASTJEDI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
