#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500787,55010182,3,HOV00_gp03,SEA_SCHUBERT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
2500787,55010183,4,HOV00_gp04,SEA_SCHUBERT_4,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20210403,-
2500787,55010184,5,HOV00_gp05,SEA_SCHUBERT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010185,6,HOV00_gp06,SEA_SCHUBERT_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200910,-
2500787,55010186,7,HOV00_gp07,SEA_SCHUBERT_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2500787,55010187,8,HOV00_gp08,SEA_SCHUBERT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010188,9,HOV00_gp09,SEA_SCHUBERT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010189,10,HOV00_gp10,SEA_SCHUBERT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010190,11,HOV00_gp11,SEA_SCHUBERT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010191,12,HOV00_gp12,SEA_SCHUBERT_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210403,-
2500787,55010192,13,HOV00_gp13,SEA_SCHUBERT_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2500787,55010193,14,HOV00_gp14,SEA_SCHUBERT_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2500787,55010194,15,HOV00_gp15,SEA_SCHUBERT_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2500787,55010195,16,HOV00_gp16,SEA_SCHUBERT_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2500787,55010196,17,HOV00_gp17,SEA_SCHUBERT_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2500787,55010197,18,HOV00_gp18,SEA_SCHUBERT_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2500787,55010198,19,HOV00_gp19,SEA_SCHUBERT_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2500787,55010199,20,HOV00_gp20,SEA_SCHUBERT_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
