#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
699370,11041045,TMA_001,TMA_001,-,-,-,-,distal tail fiber protein,protein-coding,-,-,-,distal tail fiber protein,20200909,-
699370,11041046,TMA_002,TMA_002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041047,TMA_003,TMA_003,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200909,-
699370,11041048,TMA_004,TMA_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041049,TMA_005,TMA_005,-,-,-,-,S-adenosylmethionine decarboxylase,protein-coding,-,-,-,S-adenosylmethionine decarboxylase,20200909,-
699370,11041050,TMA_006,TMA_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041051,TMA_007,TMA_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041052,TMA_008,TMA_008,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200909,-
699370,11041053,TMA_009,TMA_009,-,-,-,-,flavin-dependent thymidylate synthase,protein-coding,-,-,-,flavin-dependent thymidylate synthase,20200909,-
699370,11041054,TMA_010,TMA_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041055,TMA_011,TMA_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041056,TMA_012,TMA_012,-,-,-,-,RecA/RadA recombinase,protein-coding,-,-,-,RecA/RadA recombinase,20200909,-
699370,11041057,TMA_013,TMA_013,-,-,-,-,recombination protein ERF,protein-coding,-,-,-,recombination protein ERF,20200909,-
699370,11041058,TMA_014,TMA_014,-,-,-,-,DNA helicase DnaB,protein-coding,-,-,-,DNA helicase DnaB,20200909,-
699370,11041059,TMA_015,TMA_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041060,TMA_016,TMA_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041061,TMA_017,TMA_017,-,-,-,-,IMP dehydrogenase/GMP reductase,protein-coding,-,-,-,IMP dehydrogenase/GMP reductase,20200909,-
699370,11041062,TMA_018,TMA_018,-,-,-,-,DNA binding HTH-domain protein,protein-coding,-,-,-,DNA binding HTH-domain protein,20200909,-
699370,11041063,TMA_019,TMA_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041064,TMA_020,TMA_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041065,TMA_021,TMA_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041066,TMA_022,TMA_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041067,TMA_023,TMA_023,-,-,-,-,DNA primase bacterial DnaG type,protein-coding,-,-,-,DNA primase bacterial DnaG type,20200909,-
699370,11041068,TMA_024,TMA_024,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200909,-
699370,11041069,TMA_025,TMA_025,-,-,-,-,ClpP protease,protein-coding,-,-,-,ClpP protease,20200909,-
699370,11041070,TMA_026,TMA_026,-,-,-,-,RecB family exonuclease,protein-coding,-,-,-,RecB family exonuclease,20200909,-
699370,11041071,TMA_027,TMA_027,-,-,-,-,DEAD domain helicase,protein-coding,-,-,-,DEAD domain helicase,20200909,-
699370,11041072,TMA_028,TMA_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041073,TMA_029,TMA_029,-,-,-,-,sugar-phospahte nucleotidyltransferase,protein-coding,-,-,-,sugar-phospahte nucleotidyltransferase,20200909,-
699370,11041074,TMA_030,TMA_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041075,TMA_031,TMA_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041076,TMA_032,TMA_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041077,TMA_033,TMA_033,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
699370,11041078,TMA_034,TMA_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041079,TMA_035,TMA_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041080,TMA_036,TMA_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041081,TMA_037,TMA_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041082,TMA_038,TMA_038,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20200909,-
699370,11041083,TMA_039,TMA_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041084,TMA_040,TMA_040,-,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20200909,-
699370,11041085,TMA_041,TMA_041,-,-,-,-,ribonucleotide reductase alpha subunit,protein-coding,-,-,-,ribonucleotide reductase alpha subunit,20200909,-
699370,11041086,TMA_042,TMA_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041087,TMA_043,TMA_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041088,TMA_044,TMA_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041089,TMA_045,TMA_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041090,TMA_046,TMA_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041091,TMA_047,TMA_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041092,TMA_048,TMA_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041093,TMA_049,TMA_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041094,TMA_050,TMA_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041095,TMA_051,TMA_051,-,-,-,-,UDP-3-O-[3-hydroxy-myristory] glucosamine N-acyltransferase,protein-coding,-,-,-,UDP-3-O-[3-hydroxy-myristory] glucosamine N-acyltransferase,20200909,-
699370,11041096,TMA_052,TMA_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041097,TMA_053,TMA_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041098,TMA_054,TMA_054,-,-,-,-,peptidoglycan-binding domain containing protein,protein-coding,-,-,-,peptidoglycan-binding domain containing protein,20200909,-
699370,11041099,TMA_055,TMA_055,-,-,-,-,conserved bacterial protein,protein-coding,-,-,-,conserved bacterial protein,20200909,-
699370,11041100,TMA_056,TMA_056,-,-,-,-,SpoVR,protein-coding,-,-,-,SpoVR,20200909,-
699370,11041101,TMA_057,TMA_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041102,TMA_058,TMA_058,-,-,-,-,serine kinase,protein-coding,-,-,-,serine kinase,20200909,-
699370,11041103,TMA_059,TMA_059,-,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20200909,-
699370,11041104,TMA_060,TMA_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041105,TMA_tRNA1,TMA_tRNA1,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
699370,11041106,TMA_062,TMA_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041107,TMA_063,TMA_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041108,TMA_064,TMA_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041109,TMA_065,TMA_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041110,TMA_066,TMA_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041111,TMA_067,TMA_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041112,TMA_068,TMA_068,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200909,-
699370,11041113,TMA_069,TMA_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041114,TMA_070,TMA_070,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20200909,-
699370,11041115,TMA_071,TMA_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041116,TMA_072,TMA_072,-,-,-,-,major structural protein,protein-coding,-,-,-,major structural protein,20200909,-
699370,11041117,TMA_073,TMA_073,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200909,-
699370,11041118,TMA_074,TMA_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041119,TMA_075,TMA_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
699370,11041120,TMA_076,TMA_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
