#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
623,2827945,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Escherichia flexneri; Escherichia/Shigella flexneri; Shigella paradysenteriae.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210413,-
623,39655357,C1P82_RS23260,C1P82_RS23260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655358,C1P82_RS23060,C1P82_RS23060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
623,39655384,C1P82_RS23090,C1P82_RS23090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
623,39655386,C1P82_RS23705,C1P82_RS23705,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655400,C1P82_RS23605,C1P82_RS23605,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655402,C1P82_RS23600,C1P82_RS23600,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655414,C1P82_RS23815,C1P82_RS23815,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655438,C1P82_RS23555,C1P82_RS23555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655447,C1P82_RS23490,C1P82_RS23490,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655457,C1P82_RS23625,C1P82_RS23625,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655470,C1P82_RS23610,C1P82_RS23610,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655482,C1P82_RS22940,C1P82_RS22940,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655528,C1P82_RS23170,C1P82_RS23170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655539,C1P83_RS24910,C1P83_RS24910,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655543,C1P83_RS25180,C1P83_RS25180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655544,C1P83_RS24825,C1P83_RS24825,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655546,C1P83_RS25120,C1P83_RS25120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
623,39655548,C1P83_RS24385,C1P83_RS24385,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655558,C1P83_RS24435,C1P83_RS24435,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655568,C1P83_RS25445,C1P83_RS25445,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
623,39655582,C1P83_RS24525,C1P83_RS24525,-,-,-,-,IS66 family insertion sequence hypothetical protein,protein-coding,-,-,-,IS66 family insertion sequence hypothetical protein,20190410,-
623,39655583,C1P83_RS24450,C1P83_RS24450,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190409,-
