#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713301,55816988,HYQ30_gp002,HYQ30_gp002,heyday_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210327,-
2713301,55816989,HYQ30_gp003,HYQ30_gp003,heyday_3,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20201222,-
2713301,55816990,HYQ30_gp004,HYQ30_gp004,heyday_4,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2713301,55816991,HYQ30_gp005,HYQ30_gp005,heyday_5,-,-,-,tailspike,protein-coding,-,-,-,tailspike,20210129,-
2713301,55816992,HYQ30_gp006,HYQ30_gp006,heyday_6,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210129,-
2713301,55816993,HYQ30_gp007,HYQ30_gp007,heyday_7,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210129,-
2713301,55816994,HYQ30_gp008,HYQ30_gp008,heyday_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713301,55816995,HYQ30_gp009,HYQ30_gp009,heyday_9,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210129,-
2713301,55816996,HYQ30_gp010,HYQ30_gp010,heyday_10,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201222,-
2713301,55816997,HYQ30_gp011,HYQ30_gp011,heyday_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55816998,HYQ30_gp012,HYQ30_gp012,heyday_12,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201222,-
2713301,55816999,HYQ30_gp013,HYQ30_gp013,heyday_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817000,HYQ30_gp014,HYQ30_gp014,heyday_14,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201222,-
2713301,55817001,HYQ30_gp015,HYQ30_gp015,heyday_15,-,-,-,proximal tail sheath stabilization protein,protein-coding,-,-,-,proximal tail sheath stabilization protein,20210313,-
2713301,55817002,HYQ30_gp016,HYQ30_gp016,heyday_16,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210129,-
2713301,55817003,HYQ30_gp017,HYQ30_gp017,heyday_17,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210327,-
2713301,55817004,HYQ30_gp018,HYQ30_gp018,heyday_18,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210129,-
2713301,55817005,HYQ30_gp019,HYQ30_gp019,heyday_19,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210129,-
2713301,55817006,HYQ30_gp020,HYQ30_gp020,heyday_20,-,-,-,putative GIY-YIG endonuclease,protein-coding,-,-,-,putative GIY-YIG endonuclease,20210327,-
2713301,55817007,HYQ30_gp021,HYQ30_gp021,heyday_21,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20201222,-
2713301,55817008,HYQ30_gp022,HYQ30_gp022,heyday_22,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20201222,-
2713301,55817009,HYQ30_gp023,HYQ30_gp023,heyday_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817010,HYQ30_gp024,HYQ30_gp024,heyday_24,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20201222,-
2713301,55817011,HYQ30_gp025,HYQ30_gp025,heyday_25,-,-,-,prohead core and protease,protein-coding,-,-,-,prohead core and protease,20210313,-
2713301,55817012,HYQ30_gp026,HYQ30_gp026,heyday_26,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210123,-
