#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
981335,14297427,G185_gp21,G185_gp21,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20201220,-
981335,14297428,G185_gp18,G185_gp18,-,-,-,-,modification methylase,protein-coding,-,-,-,modification methylase,20201220,-
981335,14297429,G185_gp17,G185_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297430,G185_gp16,G185_gp16,-,-,-,-,single strand binding protein,protein-coding,-,-,-,single strand binding protein,20201220,-
981335,14297431,G185_gp15,G185_gp15,-,-,-,-,lytic transglycosylase,protein-coding,-,-,-,lytic transglycosylase,20201220,-
981335,14297432,G185_gp14,G185_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297433,G185_gp13,G185_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297434,G185_gp12,G185_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297435,G185_gp11,G185_gp11,-,-,-,-,nucleotidyl transferase,protein-coding,-,-,-,nucleotidyl transferase,20201220,-
981335,14297436,G185_gp10,G185_gp10,-,-,-,-,nucleotide kinase,protein-coding,-,-,-,nucleotide kinase,20201220,-
981335,14297437,G185_gp09,G185_gp09,-,-,-,-,epimerase,protein-coding,-,-,-,epimerase,20201220,-
981335,14297438,G185_gp08,G185_gp08,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201220,-
981335,14297439,G185_gp07,G185_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297440,G185_gp06,G185_gp06,-,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20201220,-
981335,14297441,G185_gp05,G185_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297442,G185_gp04,G185_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297443,G185_gp03,G185_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297444,G185_gp02,G185_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297445,G185_gp01,G185_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297446,terL,G185_gp20,-,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20201220,-
981335,14297447,G185_gp22,G185_gp22,-,-,-,-,putative capsid protein,protein-coding,-,-,-,putative capsid protein,20201220,-
981335,14297448,G185_gp23,G185_gp23,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201220,-
981335,14297449,G185_gp24,G185_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297450,G185_gp25,G185_gp25,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201220,-
981335,14297451,G185_gp26,G185_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297452,G185_gp27,G185_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297453,G185_gp28,G185_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297454,G185_gp29,G185_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297455,G185_gp30,G185_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297456,G185_gp31,G185_gp31,-,-,-,-,beta lactamase-like protein,protein-coding,-,-,-,beta lactamase-like protein,20201220,-
981335,14297457,G185_gp32,G185_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297458,G185_gp33,G185_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297459,G185_gp34,G185_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297460,G185_gp35,G185_gp35,-,-,-,-,putative SegB homing endonuclease,protein-coding,-,-,-,putative SegB homing endonuclease,20201220,-
981335,14297461,G185_gp36,G185_gp36,-,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20201220,-
981335,14297462,G185_gp37,G185_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297463,G185_gp38,G185_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297464,G185_gp39,G185_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297465,G185_gp40,G185_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297466,G185_gp41,G185_gp41,-,-,-,-,putative bacteriophage protein,protein-coding,-,-,-,putative bacteriophage protein,20201220,-
981335,14297467,G185_gp42,G185_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297468,G185_gp43,G185_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297469,G185_gp44,G185_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297470,G185_gp45,G185_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297471,G185_gp46,G185_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297472,G185_gp47,G185_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981335,14297473,G185_gp48,G185_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
