#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675548,26626232,BARRIGA_2,BARRIGA_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1675548,26626233,BARRIGA_3,BARRIGA_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626234,BARRIGA_4,BARRIGA_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626235,BARRIGA_5,BARRIGA_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626236,BARRIGA_6,BARRIGA_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626237,BARRIGA_7,BARRIGA_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626238,BARRIGA_8,BARRIGA_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626239,BARRIGA_9,BARRIGA_9,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1675548,26626240,BARRIGA_10,BARRIGA_10,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1675548,26626241,BARRIGA_11,BARRIGA_11,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1675548,26626242,BARRIGA_12,BARRIGA_12,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1675548,26626243,BARRIGA_13,BARRIGA_13,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1675548,26626244,BARRIGA_14,BARRIGA_14,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1675548,26626245,BARRIGA_15,BARRIGA_15,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1675548,26626246,BARRIGA_16,BARRIGA_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626247,BARRIGA_17,BARRIGA_17,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1675548,26626248,BARRIGA_18,BARRIGA_18,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1675548,26626249,BARRIGA_19,BARRIGA_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1675548,26626250,BARRIGA_20,BARRIGA_20,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1675548,26626251,BARRIGA_21,BARRIGA_21,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1675548,26626252,BARRIGA_23,BARRIGA_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1675548,26626253,BARRIGA_24,BARRIGA_24,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1675548,26626254,BARRIGA_22,BARRIGA_22,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210212,-
1675548,26626255,BARRIGA_25,BARRIGA_25,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675548,26626256,BARRIGA_26,BARRIGA_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626257,BARRIGA_27,BARRIGA_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675548,26626258,BARRIGA_28,BARRIGA_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626259,BARRIGA_29,BARRIGA_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626260,BARRIGA_30,BARRIGA_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626261,BARRIGA_31,BARRIGA_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675548,26626262,BARRIGA_32,BARRIGA_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675548,26626263,BARRIGA_33,BARRIGA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626264,BARRIGA_34,BARRIGA_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626265,BARRIGA_35,BARRIGA_35,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1675548,26626266,BARRIGA_36,BARRIGA_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626267,BARRIGA_37,BARRIGA_37,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1675548,26626268,BARRIGA_38,BARRIGA_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626269,BARRIGA_39,BARRIGA_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626270,BARRIGA_40,BARRIGA_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626271,BARRIGA_41,BARRIGA_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626272,BARRIGA_42,BARRIGA_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626273,BARRIGA_43,BARRIGA_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626274,BARRIGA_44,BARRIGA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626275,BARRIGA_45,BARRIGA_45,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1675548,26626276,BARRIGA_46,BARRIGA_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626277,BARRIGA_47,BARRIGA_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626278,BARRIGA_48,BARRIGA_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626279,BARRIGA_49,BARRIGA_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626280,BARRIGA_50,BARRIGA_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626281,BARRIGA_51,BARRIGA_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626282,BARRIGA_52,BARRIGA_52,-,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20201221,-
1675548,26626283,BARRIGA_53,BARRIGA_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626284,BARRIGA_54,BARRIGA_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626285,BARRIGA_55,BARRIGA_55,-,-,-,-,DNA Primase,protein-coding,-,-,-,DNA Primase,20201221,-
1675548,26626286,BARRIGA_56,BARRIGA_56,-,-,-,-,DNA Primase,protein-coding,-,-,-,DNA Primase,20210424,-
1675548,26626287,BARRIGA_57,BARRIGA_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626288,BARRIGA_58,BARRIGA_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626289,BARRIGA_59,BARRIGA_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626290,BARRIGA_61,BARRIGA_61,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20201221,-
1675548,26626291,BARRIGA_62,BARRIGA_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626292,BARRIGA_63,BARRIGA_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1675548,26626293,BARRIGA_64,BARRIGA_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
