#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
697581,25405473,TCARB_RS00005,TCARB_RS00005,TCARB_0001,-,-,-,adenosine-specific kinase,protein-coding,-,-,-,adenosine-specific kinase,20201026,-
697581,25405475,truD,TCARB_RS00015,TCARB_0003,-,-,-,tRNA pseudouridine(13) synthase TruD,protein-coding,-,-,-,tRNA pseudouridine(13) synthase TruD,20200829,-
697581,25405476,TCARB_RS00020,TCARB_RS00020,TCARB_0004,-,-,-,tRNA(Met) cytidine acetyltransferase,protein-coding,-,-,-,tRNA(Met) cytidine acetyltransferase,20200829,-
697581,25405477,TCARB_RS00025,TCARB_RS00025,TCARB_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25405478,TCARB_RS00030,TCARB_RS00030,TCARB_0006,-,-,-,CDC48 family AAA ATPase,protein-coding,-,-,-,CDC48 family AAA ATPase,20201026,-
697581,25405479,TCARB_RS00035,TCARB_RS00035,TCARB_0007,-,-,-,DUF933 domain-containing protein,protein-coding,-,-,-,DUF933 domain-containing protein,20201217,-
697581,25405481,TCARB_RS00045,TCARB_RS00045,TCARB_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405482,TCARB_RS00050,TCARB_RS00050,TCARB_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405483,TCARB_RS00055,TCARB_RS00055,TCARB_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405484,TCARB_RS00060,TCARB_RS00060,TCARB_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405485,TCARB_RS00065,TCARB_RS00065,TCARB_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405486,TCARB_RS00070,TCARB_RS00070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405487,TCARB_RS00075,TCARB_RS00075,TCARB_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405488,TCARB_RS00080,TCARB_RS00080,TCARB_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405489,TCARB_RS00085,TCARB_RS00085,TCARB_0019,-,-,-,Lrp/AsnC ligand binding domain-containing protein,protein-coding,-,-,-,Lrp/AsnC ligand binding domain-containing protein,20201026,-
697581,25405490,TCARB_RS00090,TCARB_RS00090,TCARB_0020,-,-,-,DNA topoisomerase IV subunit A,protein-coding,-,-,-,DNA topoisomerase IV subunit A,20201026,-
697581,25405491,TCARB_RS00095,TCARB_RS00095,TCARB_0021,-,-,-,DNA topoisomerase VI subunit B,protein-coding,-,-,-,DNA topoisomerase VI subunit B,20200829,-
