#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1033806,16545868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halorhabdus tiamatea JCM 14471; Halorhabdus tiamatea str. SARL4B; Halorhabdus tiamatea strain SARL4B).,other,-,-,-,-,20180801,-
1033806,23797421,HTIA_RS13850,HTIA_RS13850,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797422,HTIA_RS15370,HTIA_RS15370,-,-,-,-,DUF1819 family protein,protein-coding,-,-,-,DUF1819 family protein,20201105,-
1033806,23797423,HTIA_RS15365,HTIA_RS15365,HTIA_p3072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797424,HTIA_RS15360,HTIA_RS15360,HTIA_p3071,-,-,-,DUF1788 domain-containing protein,protein-coding,-,-,-,DUF1788 domain-containing protein,20210312,-
1033806,23797425,HTIA_RS15355,HTIA_RS15355,HTIA_p3070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797426,HTIA_RS15350,HTIA_RS15350,HTIA_p3069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797427,HTIA_RS15345,HTIA_RS15345,HTIA_p3068,-,-,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20201105,-
1033806,23797428,HTIA_RS15340,HTIA_RS15340,HTIA_p3067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797429,HTIA_RS15335,HTIA_RS15335,HTIA_p3066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797430,HTIA_RS15330,HTIA_RS15330,HTIA_p3065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797431,HTIA_RS15325,HTIA_RS15325,HTIA_p3064,-,-,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,23797432,HTIA_RS15320,HTIA_RS15320,HTIA_p3063,-,-,-,IS66 family transposase,protein-coding,-,-,-,IS66 family transposase,20210202,-
1033806,23797435,HTIA_RS15305,HTIA_RS15305,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797436,HTIA_RS15300,HTIA_RS15300,HTIA_p3061,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201105,-
1033806,23797437,pglZ,HTIA_RS15295,HTIA_p3060,-,-,-,BREX-5 system phosphatase PglZ,protein-coding,-,-,-,BREX-5 system phosphatase PglZ,20201105,-
1033806,23797438,HTIA_RS15290,HTIA_RS15290,HTIA_p3059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797439,HTIA_RS15285,HTIA_RS15285,HTIA_p3058,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201105,-
1033806,23797440,HTIA_RS15280,HTIA_RS15280,HTIA_p3057,-,-,-,UvrD-helicase domain-containing protein,protein-coding,-,-,-,UvrD-helicase domain-containing protein,20210312,-
1033806,23797441,HTIA_RS15275,HTIA_RS15275,HTIA_p3056,-,-,-,PD-(D/E)XK nuclease family protein,protein-coding,-,-,-,PD-(D/E)XK nuclease family protein,20201105,-
1033806,23797442,HTIA_RS15270,HTIA_RS15270,HTIA_p3055,-,-,-,IS5-like element ISHti7 family transposase,protein-coding,-,-,-,IS5-like element ISHti7 family transposase,20201105,-
1033806,23797444,HTIA_RS15260,HTIA_RS15260,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797445,HTIA_RS15255,HTIA_RS15255,HTIA_p3053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797446,HTIA_RS15250,HTIA_RS15250,HTIA_p3052,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210202,-
1033806,23797447,HTIA_RS15245,HTIA_RS15245,HTIA_p3051,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797448,HTIA_RS15240,HTIA_RS15240,HTIA_p3050,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797449,HTIA_RS15235,HTIA_RS15235,HTIA_p3049,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,23797450,HTIA_RS15230,HTIA_RS15230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797451,HTIA_RS15225,HTIA_RS15225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797452,HTIA_RS15220,HTIA_RS15220,HTIA_p3047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797453,HTIA_RS15215,HTIA_RS15215,HTIA_p3046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797454,HTIA_RS15210,HTIA_RS15210,-,-,-,-,DUF5518 domain-containing protein,protein-coding,-,-,-,DUF5518 domain-containing protein,20201105,-
1033806,23797455,HTIA_RS15205,HTIA_RS15205,HTIA_p3045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797456,HTIA_RS15200,HTIA_RS15200,HTIA_p3044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797457,HTIA_RS15195,HTIA_RS15195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797458,HTIA_RS15190,HTIA_RS15190,HTIA_p3043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797459,HTIA_RS15185,HTIA_RS15185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797460,HTIA_RS15180,HTIA_RS15180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797461,HTIA_RS15175,HTIA_RS15175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797462,HTIA_RS15170,HTIA_RS15170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,23797463,HTIA_RS15165,HTIA_RS15165,HTIA_p3039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210202,-
1033806,23797464,HTIA_RS15160,HTIA_RS15160,-,-,-,-,STAS/SEC14 domain-containing protein,protein-coding,-,-,-,STAS/SEC14 domain-containing protein,20201105,-
