#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1141526,12977503,KAK25_0003,KAK25_0003,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1141526,12977504,KAK25_0004,KAK25_0004,-,-,-,-,Rz,protein-coding,-,-,-,Rz,20201221,-
1141526,12977505,KAK25_0005,KAK25_0005,-,-,-,-,Rz1,protein-coding,-,-,-,Rz1,20201221,-
1141526,12977506,KAK25_0006,KAK25_0006,-,-,-,-,possible small terminase subunit,protein-coding,-,-,-,possible small terminase subunit,20201221,-
1141526,12977507,KAK25_0007,KAK25_0007,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20201221,-
1141526,12977508,KAK25_0008,KAK25_0008,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1141526,12977509,KAK25_0009,KAK25_0009,-,-,-,-,F-like head morphogenesis protein,protein-coding,-,-,-,F-like head morphogenesis protein,20201221,-
1141526,12977510,KAK25_00010,KAK25_00010,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1141526,12977511,KAK25_00011,KAK25_00011,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1141526,12977512,KAK25_00012,KAK25_00012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977513,KAK25_00013,KAK25_00013,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1141526,12977514,KAK25_00014,KAK25_00014,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1141526,12977515,KAK25_00015,KAK25_00015,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1141526,12977516,KAK25_00016,KAK25_00016,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1141526,12977517,KAK25_00017,KAK25_00017,-,-,-,-,major tail tube protein,protein-coding,-,-,-,major tail tube protein,20201221,-
1141526,12977518,KAK25_00019,KAK25_00019,-,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1141526,12977519,KAK25_00018,KAK25_00018,-,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1141526,12977520,KAK25_00020,KAK25_00020,-,-,-,-,putative tail completion protein,protein-coding,-,-,-,putative tail completion protein,20201221,-
1141526,12977521,KAK25_00021,KAK25_00021,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1141526,12977522,KAK25_00022,KAK25_00022,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1141526,12977523,KAK25_00023,KAK25_00023,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1141526,12977524,KAK25_00024,KAK25_00024,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1141526,12977525,KAK25_00025,KAK25_00025,-,-,-,-,virion protein,protein-coding,-,-,-,virion protein,20201221,-
1141526,12977526,KAK25_00026,KAK25_00026,-,-,-,-,central tail hub,protein-coding,-,-,-,central tail hub,20201221,-
1141526,12977527,KAK25_00027,KAK25_00027,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1141526,12977528,KAK25_00029,KAK25_00029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977529,KAK25_00028,KAK25_00028,-,-,-,-,replicative clamp,protein-coding,-,-,-,replicative clamp,20201221,-
1141526,12977530,KAK25_00030,KAK25_00030,-,-,-,-,DEAD box helicase,protein-coding,-,-,-,DEAD box helicase,20201221,-
1141526,12977531,KAK25_00031,KAK25_00031,-,-,-,-,RecB exonuclease,protein-coding,-,-,-,RecB exonuclease,20201221,-
1141526,12977532,KAK25_00032,KAK25_00032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977533,KAK25_00033,KAK25_00033,-,-,-,-,member of DUF669 phage protein family,protein-coding,-,-,-,member of DUF669 phage protein family,20201221,-
1141526,12977534,KAK25_00034,KAK25_00034,-,-,-,-,RecA,protein-coding,-,-,-,RecA,20201221,-
1141526,12977535,KAK25_00035,KAK25_00035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977536,KAK25_00036,KAK25_00036,-,-,-,-,MazG,protein-coding,-,-,-,MazG,20201221,-
1141526,12977537,KAK25_00037,KAK25_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977538,KAK25_00038,KAK25_00038,-,-,-,-,replicative primase/helicase,protein-coding,-,-,-,replicative primase/helicase,20201221,-
1141526,12977539,KAK25_00039,KAK25_00039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977540,KAK25_00040,KAK25_00040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977541,KAK25_00041,KAK25_00041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977542,KAK25_00042,KAK25_00042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977543,KAK25_00043,KAK25_00043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977544,KAK25_00044,KAK25_00044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977545,KAK25_00045,KAK25_00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977546,KAK25_00046,KAK25_00046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977547,KAK25_00047,KAK25_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977548,KAK25_00048,KAK25_00048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977549,KAK25_00049,KAK25_00049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977550,KAK25_00050,KAK25_00050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977551,KAK25_00051,KAK25_00051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977552,KAK25_00052,KAK25_00052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977553,KAK25_00053,KAK25_00053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977554,KAK25_00054,KAK25_00054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977555,KAK25_00055,KAK25_00055,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1141526,12977556,KAK25_00056,KAK25_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977557,KAK25_00057,KAK25_00057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977558,KAK25_00058,KAK25_00058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141526,12977559,KAK25_0001,KAK25_0001,-,-,-,-,member of phage protein family found in lysis cassettes,protein-coding,-,-,-,member of phage protein family found in lysis cassettes,20201221,-
1141526,12977560,KAK25_0002,KAK25_0002,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1141526,12978064,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
