#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610509,26648748,RU58_00002,RU58_00002,-,-,-,-,DNA/RNA helicase protein,protein-coding,-,-,-,DNA/RNA helicase protein,20201221,-
1610509,26648749,RU58_00003,RU58_00003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648750,RU58_00004,RU58_00004,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20201221,-
1610509,26648751,RU58_00005,RU58_00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648752,RU58_00006,RU58_00006,-,-,-,-,mazG pyrophosphatase,protein-coding,-,-,-,mazG pyrophosphatase,20201221,-
1610509,26648753,RU58_00007,RU58_00007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648754,RU58_00008,RU58_00008,-,-,-,-,replicative primase/helicase,protein-coding,-,-,-,replicative primase/helicase,20201221,-
1610509,26648755,RU58_00009,RU58_00009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648756,RU58_00010,RU58_00010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648757,RU58_00011,RU58_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648758,RU58_00012,RU58_00012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648759,RU58_00013,RU58_00013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648760,RU58_00014,RU58_00014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648761,RU58_00015,RU58_00015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648762,RU58_00016,RU58_00016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648763,RU58_00017,RU58_00017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648764,RU58_00018,RU58_00018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648765,RU58_00019,RU58_00019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648766,RU58_00020,RU58_00020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648767,RU58_00021,RU58_00021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648768,RU58_00022,RU58_00022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648769,RU58_00023,RU58_00023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648770,RU58_00024,RU58_00024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610509,26648771,RU58_00025,RU58_00025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
