#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767588,64470815,KGG74_gp02,KGG74_gp02,CPT_Spernnie_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767588,64470816,KGG74_gp03,KGG74_gp03,CPT_Spernnie_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767588,64470817,KGG74_gp04,KGG74_gp04,CPT_Spernnie_004,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210505,-
2767588,64470818,KGG74_gp05,KGG74_gp05,CPT_Spernnie_005,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210505,-
2767588,64470819,KGG74_gp06,KGG74_gp06,CPT_Spernnie_006,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767588,64470820,KGG74_gp07,KGG74_gp07,CPT_Spernnie_007,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767588,64470821,KGG74_gp08,KGG74_gp08,CPT_Spernnie_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767588,64470822,KGG74_gp09,KGG74_gp09,CPT_Spernnie_009,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767588,64470823,KGG74_gp10,KGG74_gp10,CPT_Spernnie_010,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2767588,64470824,KGG74_gp11,KGG74_gp11,CPT_Spernnie_011,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2767588,64470825,KGG74_gp12,KGG74_gp12,CPT_Spernnie_013,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210505,-
2767588,64470826,KGG74_gp14,KGG74_gp14,CPT_Spernnie_014,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
