#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10456,37628495,D1P95_gp015,D1P95_gp015,SlsnVgp015,-,-,-,occlusion-derived virus envelope protein ODV-E56,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E56,20181103,-
10456,37628496,D1P95_gp016,D1P95_gp016,SlsnVgp016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628497,D1P95_gp017,D1P95_gp017,SlsnVgp017,-,-,-,P10 protein,protein-coding,-,-,-,P10 protein,20181103,-
10456,37628498,D1P95_gp086,D1P95_gp086,SlsnVgp086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628499,D1P95_gp087,D1P95_gp087,SlsnVgp087,-,-,-,p12,protein-coding,-,-,-,p12,20180825,-
10456,37628500,D1P95_gp088,D1P95_gp088,SlsnVgp088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628501,D1P95_gp089,D1P95_gp089,SlsnVgp089,-,-,-,capsid-associated protein VP80,protein-coding,-,-,-,capsid-associated protein VP80,20181103,-
10456,37628502,D1P95_gp090,D1P95_gp090,SlsnVgp090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628503,D1P95_gp091,D1P95_gp091,SlsnVgp091,-,-,-,occlusion derived virus envelope protein ODV-EC43,protein-coding,-,-,-,occlusion derived virus envelope protein ODV-EC43,20181103,-
10456,37628504,D1P95_gp092,D1P95_gp092,SlsnVgp092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628505,D1P95_gp093,D1P95_gp093,SlsnVgp093,-,-,-,occlusion-derived virus envelope protein ODV-E66,protein-coding,-,-,-,occlusion-derived virus envelope protein ODV-E66,20181103,-
10456,37628506,D1P95_gp094,D1P95_gp094,SlsnVgp094,-,-,-,P13 protein,protein-coding,-,-,-,P13 protein,20181103,-
10456,37628507,D1P95_gp095,D1P95_gp095,SlsnVgp095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628508,D1P95_gp096,D1P95_gp096,SlsnVgp096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628509,D1P95_gp097,D1P95_gp097,SlsnVgp097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628510,D1P95_gp098,D1P95_gp098,SlsnVgp098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628511,D1P95_gp099,D1P95_gp099,SlsnVgp099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628512,D1P95_gp100,D1P95_gp100,SlsnVgp100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628513,D1P95_gp101,D1P95_gp101,SlsnVgp101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628514,D1P95_gp102,D1P95_gp102,SlsnVgp102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628515,D1P95_gp103,D1P95_gp103,SlsnVgp103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628516,D1P95_gp104,D1P95_gp104,SlsnVgp104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628517,D1P95_gp105,D1P95_gp105,SlsnVgp105,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20181103,-
10456,37628518,D1P95_gp106,D1P95_gp106,SlsnVgp106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628519,D1P95_gp107,D1P95_gp107,SlsnVgp107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628520,D1P95_gp108,D1P95_gp108,SlsnVgp108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628521,D1P95_gp109,D1P95_gp109,SlsnVgp109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628522,D1P95_gp110,D1P95_gp110,SlsnVgp110,-,-,-,LEF-2,protein-coding,-,-,-,LEF-2|late expression factor 2,20181103,-
10456,37628523,D1P95_gp111,D1P95_gp111,SlsnVgp111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628524,D1P95_gp112,D1P95_gp112,SlsnVgp112,-,-,-,P24 capsid,protein-coding,-,-,-,P24 capsid,20181103,-
10456,37628525,D1P95_gp113,D1P95_gp113,SlsnVgp113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628526,D1P95_gp114,D1P95_gp114,SlsnVgp114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628527,D1P95_gp115,D1P95_gp115,SlsnVgp115,-,-,-,bro-a,protein-coding,-,-,-,bro-a,20180825,-
10456,37628528,D1P95_gp116,D1P95_gp116,SlsnVgp116,-,-,-,ecdysteroid UDP-glucosyltransferase,protein-coding,-,-,-,ecdysteroid UDP-glucosyltransferase,20181103,-
10456,37628529,D1P95_gp117,D1P95_gp117,SlsnVgp117,-,-,-,fibroblast growth factor,protein-coding,-,-,-,fibroblast growth factor,20181103,-
10456,37628530,D1P95_gp118,D1P95_gp118,SlsnVgp118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628531,D1P95_gp119,D1P95_gp119,SlsnVgp119,-,-,-,per os infectivity factor 1,protein-coding,-,-,-,per os infectivity factor 1,20181103,-
10456,37628532,D1P95_gp120,D1P95_gp120,SlsnVgp120,-,-,-,38.7 kDa protein,protein-coding,-,-,-,38.7 kDa protein,20181103,-
10456,37628533,D1P95_gp121,D1P95_gp121,SlsnVgp121,-,-,-,LEF-1,protein-coding,-,-,-,LEF-1|late expression factor 1,20181103,-
10456,37628534,D1P95_gp122,D1P95_gp122,SlsnVgp122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628535,D1P95_gp123,D1P95_gp123,SlsnVgp123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628536,D1P95_gp124,D1P95_gp124,SlsnVgp124,-,-,-,calyx protein,protein-coding,-,-,-,calyx protein|polyhedron envelope protein PEP,20181103,-
10456,37628537,D1P95_gp125,D1P95_gp125,SlsnVgp125,-,-,-,pkip,protein-coding,-,-,-,pkip,20181103,-
10456,37628538,D1P95_gp126,D1P95_gp126,SlsnVgp126,-,-,-,arif-1,protein-coding,-,-,-,arif-1,20180825,-
10456,37628539,D1P95_gp127,D1P95_gp127,SlsnVgp127,-,-,-,per os infectivity factor 2,protein-coding,-,-,-,per os infectivity factor 2,20181103,-
10456,37628540,D1P95_gp128,D1P95_gp128,SlsnVgp128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628541,D1P95_gp129,D1P95_gp129,SlsnVgp129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628542,D1P95_gp130,D1P95_gp130,SlsnVgp130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628543,D1P95_gp131,D1P95_gp131,SlsnVgp131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628544,D1P95_gp132,D1P95_gp132,SlsnVgp132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628545,D1P95_gp001,D1P95_gp001,SltVgp001,-,-,-,major occlusion protein,protein-coding,-,-,-,major occlusion protein|polyhedrin,20181103,-
10456,37628546,D1P95_gp018,D1P95_gp018,SlsnVgp018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628547,D1P95_gp019,D1P95_gp019,SlsnVgp019,-,-,-,P74 protein,protein-coding,-,-,-,P74 protein,20181103,-
10456,37628548,D1P95_gp020,D1P95_gp020,SlsnVgp020,-,-,-,RR1,protein-coding,-,-,-,RR1|ribonucleotide reductase,20181103,-
10456,37628549,D1P95_gp021,D1P95_gp021,SlsnVgp021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628550,D1P95_gp022,D1P95_gp022,SlsnVgp022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10456,37628551,D1P95_gp023,D1P95_gp023,SlsnVgp023,-,-,-,ME53,protein-coding,-,-,-,ME53,20181103,-
10456,37628552,D1P95_gp024,D1P95_gp024,SlsnVgp024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628553,D1P95_gp025,D1P95_gp025,SlsnVgp025,-,-,-,LEF-6,protein-coding,-,-,-,LEF-6|late expression factor 6,20180825,-
10456,37628554,D1P95_gp026,D1P95_gp026,SlsnVgp026,-,-,-,DBP,protein-coding,-,-,-,DBP|DNA binding protein,20181103,-
10456,37628555,D1P95_gp027,D1P95_gp027,SlsnVgp027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10456,37628556,D1P95_gp028,D1P95_gp028,SlsnVgp028,-,-,-,ubiquitin GP37 fusion protein,protein-coding,-,-,-,ubiquitin GP37 fusion protein,20181103,-
10456,37628557,D1P95_gp029,D1P95_gp029,SlsnVgp029,-,-,-,PP31,protein-coding,-,-,-,PP31|early 39 kDa protein,20181103,-
