#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662332,26639921,RCRHEA_2,RCRHEA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1662332,26639922,RCRHEA_3,RCRHEA_3,-,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1662332,26639923,RCRHEA_4,RCRHEA_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639924,RCRHEA_5,RCRHEA_5,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1662332,26639925,RCRHEA_6,RCRHEA_6,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1662332,26639926,RCRHEA_7,RCRHEA_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1662332,26639927,RCRHEA_8,RCRHEA_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662332,26639928,RCRHEA_9,RCRHEA_9,-,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20201221,-
1662332,26639929,RCRHEA_10,RCRHEA_10,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1662332,26639930,RCRHEA_12,RCRHEA_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1662332,26639931,RCRHEA_13,RCRHEA_13,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1662332,26639932,RCRHEA_11,RCRHEA_11,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1662332,26639933,RCRHEA_14,RCRHEA_14,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1662332,26639934,RCRHEA_15,RCRHEA_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
