#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
981323,10874210,tmp,GoPhGTE2_gp14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
981323,10874211,terL,GoPhGTE2_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
981323,10896985,GoPhGTE2_gp35,GoPhGTE2_gp35,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
981323,10896986,GoPhGTE2_gp34,GoPhGTE2_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896987,GoPhGTE2_gp33,GoPhGTE2_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896988,GoPhGTE2_gp32,GoPhGTE2_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896989,GoPhGTE2_gp31,GoPhGTE2_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896990,GoPhGTE2_gp30,GoPhGTE2_gp30,-,-,-,-,VRR-NUC domain containing protein,protein-coding,-,-,-,VRR-NUC domain containing protein,20201220,-
981323,10896991,GoPhGTE2_gp29,GoPhGTE2_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896992,GoPhGTE2_gp28,GoPhGTE2_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896993,GoPhGTE2_gp27,GoPhGTE2_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896994,GoPhGTE2_gp26,GoPhGTE2_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896995,GoPhGTE2_gp25,GoPhGTE2_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896996,GoPhGTE2_gp53,GoPhGTE2_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896997,GoPhGTE2_gp24,GoPhGTE2_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
981323,10896998,GoPhGTE2_gp23,GoPhGTE2_gp23,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201220,-
981323,10896999,GoPhGTE2_gp22,GoPhGTE2_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
