#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1567468,26793917,2,PBI_EDTHERSON_2,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201221,-
1567468,26793918,3,PBI_EDTHERSON_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793919,4,PBI_EDTHERSON_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793920,5,PBI_EDTHERSON_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793921,6,PBI_EDTHERSON_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793922,7,PBI_EDTHERSON_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793923,8,PBI_EDTHERSON_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793924,9,PBI_EDTHERSON_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1567468,26793925,10,PBI_EDTHERSON_10,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1567468,26793926,11,PBI_EDTHERSON_11,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1567468,26793927,12,PBI_EDTHERSON_12,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1567468,26793928,13,PBI_EDTHERSON_13,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1567468,26793929,14,PBI_EDTHERSON_14,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1567468,26793930,15,PBI_EDTHERSON_15,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1567468,26793931,16,PBI_EDTHERSON_16,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1567468,26793932,17,PBI_EDTHERSON_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793933,18,PBI_EDTHERSON_18,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1567468,26793934,19,PBI_EDTHERSON_19,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1567468,26793935,20,PBI_EDTHERSON_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1567468,26793936,21,PBI_EDTHERSON_21,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1567468,26793937,22,PBI_EDTHERSON_22,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1567468,26793938,24,PBI_EDTHERSON_24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1567468,26793939,25,PBI_EDTHERSON_25,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1567468,26793940,23,PBI_EDTHERSON_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1567468,26793941,26,PBI_EDTHERSON_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1567468,26793942,27,PBI_EDTHERSON_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793943,28,PBI_EDTHERSON_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1567468,26793944,29,PBI_EDTHERSON_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793945,30,PBI_EDTHERSON_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793946,31,PBI_EDTHERSON_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793947,32,PBI_EDTHERSON_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1567468,26793948,33,PBI_EDTHERSON_33,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1567468,26793949,34,PBI_EDTHERSON_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793950,35,PBI_EDTHERSON_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793951,36,PBI_EDTHERSON_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793952,37,PBI_EDTHERSON_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793953,38,PBI_EDTHERSON_38,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1567468,26793954,39,PBI_EDTHERSON_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793955,40,PBI_EDTHERSON_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793956,41,PBI_EDTHERSON_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793957,42,PBI_EDTHERSON_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793958,43,PBI_EDTHERSON_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793959,44,PBI_EDTHERSON_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793960,45,PBI_EDTHERSON_45,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1567468,26793961,46,PBI_EDTHERSON_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793962,47,PBI_EDTHERSON_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793963,48,PBI_EDTHERSON_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793964,49,PBI_EDTHERSON_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793965,50,PBI_EDTHERSON_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793966,51,PBI_EDTHERSON_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793967,52,PBI_EDTHERSON_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793968,53,PBI_EDTHERSON_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793969,54,PBI_EDTHERSON_54,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
1567468,26793970,55,PBI_EDTHERSON_55,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1567468,26793971,56,PBI_EDTHERSON_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793972,57,PBI_EDTHERSON_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793973,58,PBI_EDTHERSON_58,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1567468,26793974,59,PBI_EDTHERSON_59,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20210424,-
1567468,26793975,60,PBI_EDTHERSON_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793976,61,PBI_EDTHERSON_61,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20210406,-
1567468,26793977,62,PBI_EDTHERSON_62,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1567468,26793978,63,PBI_EDTHERSON_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793979,64,PBI_EDTHERSON_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793980,65,PBI_EDTHERSON_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793981,66,PBI_EDTHERSON_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793982,67,PBI_EDTHERSON_67,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201221,-
1567468,26793983,68,PBI_EDTHERSON_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793984,69,PBI_EDTHERSON_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793985,70,PBI_EDTHERSON_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793986,71,PBI_EDTHERSON_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793987,72,PBI_EDTHERSON_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1567468,26793988,73,PBI_EDTHERSON_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793989,74,PBI_EDTHERSON_74,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1567468,26793990,75,PBI_EDTHERSON_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793991,76,PBI_EDTHERSON_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793992,77,PBI_EDTHERSON_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793993,78,PBI_EDTHERSON_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793994,79,PBI_EDTHERSON_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793995,80,PBI_EDTHERSON_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793996,81,PBI_EDTHERSON_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793997,82,PBI_EDTHERSON_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793998,83,PBI_EDTHERSON_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26793999,84,PBI_EDTHERSON_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26794000,85,PBI_EDTHERSON_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26794001,86,PBI_EDTHERSON_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26794002,87,PBI_EDTHERSON_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26794003,88,PBI_EDTHERSON_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26794004,89,PBI_EDTHERSON_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26794005,90,PBI_EDTHERSON_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26794006,91,PBI_EDTHERSON_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26794007,1,PBI_EDTHERSON_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567468,26823844,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Edtherson).,other,-,-,-,-,20200513,-
