#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
7209,9937370,LOAG_00014,LOAG_00014,-,-,Unknown,-,6-phosphofructokinase,protein-coding,-,-,-,6-phosphofructokinase,20201104,-
7209,9937371,LOAG_00015,LOAG_00015,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937372,LOAG_00016,LOAG_00016,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937373,LOAG_00017,LOAG_00017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937374,LOAG_00018,LOAG_00018,-,-,Unknown,-,clathrin heavy chain 1,protein-coding,-,-,-,clathrin heavy chain 1,20201104,-
7209,9937375,LOAG_00019,LOAG_00019,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937376,LOAG_00020,LOAG_00020,-,-,Unknown,-,flavodoxin family protein,protein-coding,-,-,-,flavodoxin family protein,20201104,-
7209,9937377,LOAG_00021,LOAG_00021,-,-,Unknown,-,atypical/ABC1/ABC1-C protein kinase,protein-coding,-,-,-,atypical/ABC1/ABC1-C protein kinase,20201104,-
7209,9937378,LOAG_16469,LOAG_16469,LOAG_00022,-,Unknown,-,WD repeat-containing protein 24,protein-coding,-,-,-,WD repeat-containing protein 24,20201104,-
7209,9937379,LOAG_00023,LOAG_00023,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937380,LOAG_00024,LOAG_00024,-,-,Unknown,-,TKL/STKR/TYPE2 protein kinase,protein-coding,-,-,-,TKL/STKR/TYPE2 protein kinase,20201104,-
7209,9937381,LOAG_16467,LOAG_16467,LOAG_00001,-,Unknown,-,rabphilin-1,protein-coding,-,-,-,rabphilin-1,20201104,-
7209,9937382,LOAG_00002,LOAG_00002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937383,LOAG_00003,LOAG_00003,-,-,Unknown,-,ubiquinone biosynthesis methyltransferase,protein-coding,-,-,-,ubiquinone biosynthesis methyltransferase,20201104,-
7209,9937385,LOAG_16468,LOAG_16468,LOAG_00005,-,Unknown,-,CBR-CYLD-1 protein,protein-coding,-,-,-,CBR-CYLD-1 protein,20201104,-
7209,9937386,LOAG_00006,LOAG_00006,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937387,LOAG_00007,LOAG_00007,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937388,LOAG_00008,LOAG_00008,-,-,Unknown,-,rhomboid family protein,protein-coding,-,-,-,rhomboid family protein,20201104,-
7209,9937389,LOAG_00009,LOAG_00009,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937390,LOAG_00010,LOAG_00010,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937391,LOAG_00011,LOAG_00011,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937392,LOAG_00012,LOAG_00012,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937393,LOAG_00013,LOAG_00013,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937394,LOAG_00026,LOAG_00026,-,-,Unknown,-,transmembrane 4 superfamily member 9,protein-coding,-,-,-,transmembrane 4 superfamily member 9,20201104,-
7209,9937395,LOAG_00027,LOAG_00027,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937396,LOAG_00028,LOAG_00028,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937398,LOAG_16357,LOAG_16357,LOAG_00030,-,Unknown,-,pre-mRNA-processing factor 39,protein-coding,-,-,-,pre-mRNA-processing factor 39,20201104,-
7209,9937399,LOAG_00031,LOAG_00031,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937401,LOAG_16358,LOAG_16358,LOAG_00033,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937402,LOAG_00034,LOAG_00034,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937403,LOAG_00035,LOAG_00035,-,-,Unknown,-,transcription factor E2F-4,protein-coding,-,-,-,transcription factor E2F-4,20201104,-
7209,9937404,LOAG_00036,LOAG_00036,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937405,LOAG_00037,LOAG_00037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937406,LOAG_00038,LOAG_00038,-,-,Unknown,-,lipoyl(octanoyl) transferase,protein-coding,-,-,-,lipoyl(octanoyl) transferase,20201104,-
7209,9937407,LOAG_00039,LOAG_00039,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937408,LOAG_00040,LOAG_00040,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937409,LOAG_00041,LOAG_00041,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937410,LOAG_00042,LOAG_00042,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937411,LOAG_00043,LOAG_00043,-,-,Unknown,-,ribosomal protein L37ae,protein-coding,-,-,-,ribosomal protein L37ae,20201104,-
7209,9937412,LOAG_00044,LOAG_00044,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937413,LOAG_00045,LOAG_00045,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937414,LOAG_00046,LOAG_00046,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937415,LOAG_00047,LOAG_00047,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937416,LOAG_00048,LOAG_00048,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937417,LOAG_00049,LOAG_00049,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9937418,LOAG_00050,LOAG_00050,-,-,Unknown,-,protein-L-isoaspartate O-methyltransferase,protein-coding,-,-,-,protein-L-isoaspartate O-methyltransferase,20201104,-
7209,9937419,LOAG_00051,LOAG_00051,-,-,Unknown,-,ATP-dependent RNA helicase P62,protein-coding,-,-,-,ATP-dependent RNA helicase P62,20201104,-
