#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653763,60331319,2,I5H64_gp002,SEA_MINIONDAVE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2653763,60331320,3,I5H64_gp003,SEA_MINIONDAVE_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2653763,60331321,4,I5H64_gp004,SEA_MINIONDAVE_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2653763,60331322,5,I5H64_gp005,SEA_MINIONDAVE_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2653763,60331323,6,I5H64_gp006,SEA_MINIONDAVE_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2653763,60331324,7,I5H64_gp007,SEA_MINIONDAVE_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2653763,60331325,8,I5H64_gp008,SEA_MINIONDAVE_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2653763,60331326,9,I5H64_gp009,SEA_MINIONDAVE_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2653763,60331327,10,I5H64_gp010,SEA_MINIONDAVE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2653763,60331328,11,I5H64_gp011,SEA_MINIONDAVE_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2653763,60331329,12,I5H64_gp012,SEA_MINIONDAVE_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2653763,60331330,14,I5H64_gp013,SEA_MINIONDAVE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653763,60331331,15,I5H64_gp015,SEA_MINIONDAVE_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201202,-
2653763,60331332,13,I5H64_gp014,SEA_MINIONDAVE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2653763,60331333,16,I5H64_gp016,SEA_MINIONDAVE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653763,60331334,17,I5H64_gp017,SEA_MINIONDAVE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653763,60331335,18,I5H64_gp018,SEA_MINIONDAVE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331336,19,I5H64_gp019,SEA_MINIONDAVE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653763,60331337,20,I5H64_gp020,SEA_MINIONDAVE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2653763,60331338,21,I5H64_gp021,SEA_MINIONDAVE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2653763,60331339,22,I5H64_gp022,SEA_MINIONDAVE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331340,23,I5H64_gp023,SEA_MINIONDAVE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331341,24,I5H64_gp024,SEA_MINIONDAVE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331342,25,I5H64_gp025,SEA_MINIONDAVE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331343,26,I5H64_gp026,SEA_MINIONDAVE_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2653763,60331344,27,I5H64_gp027,SEA_MINIONDAVE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331345,28,I5H64_gp028,SEA_MINIONDAVE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331346,29,I5H64_gp029,SEA_MINIONDAVE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331347,30,I5H64_gp030,SEA_MINIONDAVE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331348,31,I5H64_gp031,SEA_MINIONDAVE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331349,32,I5H64_gp032,SEA_MINIONDAVE_32,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2653763,60331350,33,I5H64_gp033,SEA_MINIONDAVE_33,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2653763,60331351,34,I5H64_gp034,SEA_MINIONDAVE_34,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2653763,60331352,35,I5H64_gp035,SEA_MINIONDAVE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2653763,60331353,36,I5H64_gp036,SEA_MINIONDAVE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
2653763,60331354,37,I5H64_gp037,SEA_MINIONDAVE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331355,38,I5H64_gp038,SEA_MINIONDAVE_38,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20201129,-
2653763,60331356,39,I5H64_gp039,SEA_MINIONDAVE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331357,40,I5H64_gp040,SEA_MINIONDAVE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331358,41,I5H64_gp041,SEA_MINIONDAVE_41,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2653763,60331359,42,I5H64_gp042,SEA_MINIONDAVE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331360,43,I5H64_gp043,SEA_MINIONDAVE_43,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2653763,60331361,44,I5H64_gp044,SEA_MINIONDAVE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331362,45,I5H64_gp045,SEA_MINIONDAVE_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2653763,60331363,46,I5H64_gp046,SEA_MINIONDAVE_46,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
2653763,60331364,47,I5H64_gp047,SEA_MINIONDAVE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331365,48,I5H64_gp048,SEA_MINIONDAVE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331366,49,I5H64_gp049,SEA_MINIONDAVE_49,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2653763,60331367,50,I5H64_gp050,SEA_MINIONDAVE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331368,51,I5H64_gp051,SEA_MINIONDAVE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331369,52,I5H64_gp052,SEA_MINIONDAVE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331370,53,I5H64_gp053,SEA_MINIONDAVE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331371,54,I5H64_gp054,SEA_MINIONDAVE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331372,55,I5H64_gp055,SEA_MINIONDAVE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2653763,60331373,56,I5H64_gp056,SEA_MINIONDAVE_56,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2653763,60331374,57,I5H64_gp057,SEA_MINIONDAVE_57,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210313,-
2653763,60331375,58,I5H64_gp058,SEA_MINIONDAVE_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2653763,60331376,59,I5H64_gp059,SEA_MINIONDAVE_59,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210306,-
2653763,60331377,60,I5H64_gp060,SEA_MINIONDAVE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331378,61,I5H64_gp061,SEA_MINIONDAVE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331379,62,I5H64_gp062,SEA_MINIONDAVE_62,-,-,-,Ku-like dsDNA break-binding protein,protein-coding,-,-,-,Ku-like dsDNA break-binding protein,20201129,-
2653763,60331380,63,I5H64_gp063,SEA_MINIONDAVE_63,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210129,-
2653763,60331381,64,I5H64_gp064,SEA_MINIONDAVE_64,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2653763,60331382,65,I5H64_gp065,SEA_MINIONDAVE_65,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2653763,60331383,66,I5H64_gp066,SEA_MINIONDAVE_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2653763,60331384,67,I5H64_gp067,SEA_MINIONDAVE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331385,68,I5H64_gp068,SEA_MINIONDAVE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331386,69,I5H64_gp069,SEA_MINIONDAVE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331387,70,I5H64_gp070,SEA_MINIONDAVE_70,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2653763,60331388,71,I5H64_gp071,SEA_MINIONDAVE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331389,72,I5H64_gp072,SEA_MINIONDAVE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331390,73,I5H64_gp073,SEA_MINIONDAVE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331391,74,I5H64_gp074,SEA_MINIONDAVE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331392,75,I5H64_gp075,SEA_MINIONDAVE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331393,76,I5H64_gp076,SEA_MINIONDAVE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331394,77,I5H64_gp077,SEA_MINIONDAVE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331395,78,I5H64_gp078,SEA_MINIONDAVE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331396,79,I5H64_gp079,SEA_MINIONDAVE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331397,80,I5H64_gp080,SEA_MINIONDAVE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331398,81,I5H64_gp081,SEA_MINIONDAVE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331399,82,I5H64_gp082,SEA_MINIONDAVE_82,-,-,-,MPME1-like protein,protein-coding,-,-,-,MPME1-like protein,20201129,-
2653763,60331400,83,I5H64_gp083,SEA_MINIONDAVE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331401,84,I5H64_gp084,SEA_MINIONDAVE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331402,85,I5H64_gp085,SEA_MINIONDAVE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331403,86,I5H64_gp086,SEA_MINIONDAVE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331404,87,I5H64_gp087,SEA_MINIONDAVE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2653763,60331405,88,I5H64_gp088,SEA_MINIONDAVE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
