#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
595528,14894399,CAOG_08376,CAOG_08376,-,-,Unknown,-,propionyl-CoA carboxylase subunit alpha,protein-coding,-,-,-,propionyl-CoA carboxylase subunit alpha,20201223,-
595528,14894400,CAOG_08379,CAOG_08379,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894401,CAOG_08378,CAOG_08378,-,-,Unknown,-,tubulin folding cofactor B,protein-coding,-,-,-,tubulin folding cofactor B,20201223,-
595528,14894402,CAOG_08377,CAOG_08377,-,-,Unknown,-,hypothetical protein,pseudo,-,-,-,-,20201223,-
595528,14894403,CAOG_08380,CAOG_08380,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894404,CAOG_08381,CAOG_08381,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894405,CAOG_08343,CAOG_08343,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894406,CAOG_08307,CAOG_08307,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894407,CAOG_08306,CAOG_08306,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894408,CAOG_08333,CAOG_08333,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894409,CAOG_08332,CAOG_08332,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894410,CAOG_08365,CAOG_08365,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894411,CAOG_08372,CAOG_08372,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894412,CAOG_08373,CAOG_08373,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894413,CAOG_08371,CAOG_08371,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894414,CAOG_08359,CAOG_08359,-,-,Unknown,-,translin-associated protein X,protein-coding,-,-,-,translin-associated protein X,20201223,-
595528,14894415,CAOG_08360,CAOG_08360,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894417,CAOG_08362,CAOG_08362,-,-,Unknown,-,septin-6,protein-coding,-,-,-,septin-6,20201223,-
595528,14894419,CAOG_08366,CAOG_08366,-,-,Unknown,-,non-receptor protein kinase,protein-coding,-,-,-,non-receptor protein kinase,20201223,-
595528,14894420,CAOG_08368,CAOG_08368,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894421,CAOG_08367,CAOG_08367,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894422,CAOG_08369,CAOG_08369,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894423,CAOG_08375,CAOG_08375,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894424,CAOG_08374,CAOG_08374,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894426,CAOG_08364,CAOG_08364,-,-,Unknown,-,tyrosine-protein kinase transforming protein Fes,protein-coding,-,-,-,tyrosine-protein kinase transforming protein Fes,20201223,-
595528,14894427,CAOG_08347,CAOG_08347,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894428,CAOG_08363,CAOG_08363,-,-,Unknown,-,4-aminobutyrate transaminase,protein-coding,-,-,-,4-aminobutyrate transaminase,20201223,-
595528,14894429,CAOG_08355,CAOG_08355,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894430,CAOG_08352,CAOG_08352,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894431,CAOG_08351,CAOG_08351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894433,CAOG_08350,CAOG_08350,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894434,CAOG_08356,CAOG_08356,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894435,CAOG_08358,CAOG_08358,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14894436,CAOG_08357,CAOG_08357,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
