#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821549,29123637,2,SEA_BAXTERFOX_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821549,29123638,3,SEA_BAXTERFOX_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1821549,29123639,4,SEA_BAXTERFOX_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1821549,29123640,5,SEA_BAXTERFOX_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1821549,29123641,6,SEA_BAXTERFOX_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1821549,29123642,7,SEA_BAXTERFOX_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123643,8,SEA_BAXTERFOX_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1821549,29123644,9,SEA_BAXTERFOX_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1821549,29123645,10,SEA_BAXTERFOX_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123646,11,SEA_BAXTERFOX_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1821549,29123647,12,SEA_BAXTERFOX_12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1821549,29123648,14,SEA_BAXTERFOX_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821549,29123649,15,SEA_BAXTERFOX_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821549,29123650,13,SEA_BAXTERFOX_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821549,29123651,16,SEA_BAXTERFOX_16,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1821549,29123652,17,SEA_BAXTERFOX_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821549,29123653,18,SEA_BAXTERFOX_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821549,29123654,19,SEA_BAXTERFOX_19,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1821549,29123655,20,SEA_BAXTERFOX_20,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1821549,29123656,21,SEA_BAXTERFOX_21,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821549,29123657,22,SEA_BAXTERFOX_22,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821549,29123658,23,SEA_BAXTERFOX_23,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821549,29123659,24,SEA_BAXTERFOX_24,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821549,29123660,25,SEA_BAXTERFOX_25,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1821549,29123661,26,SEA_BAXTERFOX_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821549,29123662,27,SEA_BAXTERFOX_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123663,28,SEA_BAXTERFOX_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821549,29123664,29,SEA_BAXTERFOX_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123665,30,SEA_BAXTERFOX_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123666,31,SEA_BAXTERFOX_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123667,32,SEA_BAXTERFOX_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123668,33,SEA_BAXTERFOX_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123669,34,SEA_BAXTERFOX_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123670,35,SEA_BAXTERFOX_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123671,36,SEA_BAXTERFOX_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123672,37,SEA_BAXTERFOX_37,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1821549,29123673,38,SEA_BAXTERFOX_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123674,39,SEA_BAXTERFOX_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123675,40,SEA_BAXTERFOX_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123676,41,SEA_BAXTERFOX_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123677,42,SEA_BAXTERFOX_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123678,43,SEA_BAXTERFOX_43,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1821549,29123679,44,SEA_BAXTERFOX_44,-,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20201221,-
1821549,29123680,45,SEA_BAXTERFOX_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821549,29123681,46,SEA_BAXTERFOX_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
