#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
538398,7256373,ORF75,PB1_gp78,-,-,-,-,pseudo,pseudo,-,-,-,-,20201220,-
538398,7262091,PB1_gp08,PB1_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262092,PB1_gp92,PB1_gp92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262093,PB1_gp93,PB1_gp93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262094,PB1_gp94,PB1_gp94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262095,PB1_gp01,PB1_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262096,PB1_gp79,PB1_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262097,PB1_gp02,PB1_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262098,PB1_gp03,PB1_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262099,PB1_gp04,PB1_gp04,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200926,-
538398,7262100,PB1_gp05,PB1_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262101,PB1_gp06,PB1_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262102,PB1_gp07,PB1_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262103,PB1_gp09,PB1_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262104,PB1_gp10,PB1_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262105,PB1_gp11,PB1_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262106,PB1_gp12,PB1_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262107,PB1_gp13,PB1_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262108,PB1_gp14,PB1_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262109,PB1_gp15,PB1_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262110,PB1_gp16,PB1_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262111,PB1_gp17,PB1_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262112,PB1_gp18,PB1_gp18,-,-,-,-,putative minor head protein,protein-coding,-,-,-,putative minor head protein,20200629,-
538398,7262113,PB1_gp19,PB1_gp19,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20200629,-
538398,7262114,PB1_gp20,PB1_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262115,PB1_gp21,PB1_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262116,PB1_gp22,PB1_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262117,PB1_gp23,PB1_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262118,PB1_gp24,PB1_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262119,PB1_gp25,PB1_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262120,PB1_gp26,PB1_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262121,PB1_gp27,PB1_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262122,PB1_gp28,PB1_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262123,PB1_gp29,PB1_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262124,PB1_gp30,PB1_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
538398,7262125,PB1_gp31,PB1_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262126,PB1_gp32,PB1_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262127,PB1_gp33,PB1_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262128,PB1_gp34,PB1_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262129,PB1_gp35,PB1_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262130,PB1_gp36,PB1_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262131,PB1_gp37,PB1_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262132,PB1_gp38,PB1_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262133,PB1_gp39,PB1_gp39,-,-,-,-,putative tail protein containing transglycosylase,protein-coding,-,-,-,putative tail protein containing transglycosylase,20210424,-
538398,7262134,PB1_gp40,PB1_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262135,PB1_gp41,PB1_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262136,PB1_gp42,PB1_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262137,PB1_gp43,PB1_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262138,PB1_gp44,PB1_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
538398,7262139,PB1_gp45,PB1_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
538398,7262140,PB1_gp46,PB1_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
538398,7262141,PB1_gp47,PB1_gp47,-,-,-,-,tail fiber component,protein-coding,-,-,-,tail fiber component,20200629,-
538398,7262142,PB1_gp48,PB1_gp48,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200629,-
538398,7262143,PB1_gp49,PB1_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
