#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1567472,23680762,2,MALITHI_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1567472,23680763,3,MALITHI_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1567472,23680764,4,MALITHI_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1567472,23680765,5,MALITHI_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210417,-
1567472,23680766,6,MALITHI_6,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1567472,23680767,7,MALITHI_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680768,8,MALITHI_8,-,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
1567472,23680769,9,MALITHI_9,-,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
1567472,23680770,10,MALITHI_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680771,11,MALITHI_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680772,12,MALITHI_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680773,13,MALITHI_13,-,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
1567472,23680774,14,MALITHI_14,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1567472,23680775,16,MALITHI_16,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1567472,23680776,15,MALITHI_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1567472,23680777,17,MALITHI_17,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1567472,23680778,18,MALITHI_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1567472,23680779,19,MALITHI_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1567472,23680780,20,MALITHI_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1567472,23680781,21,MALITHI_21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1567472,23680782,22,MALITHI_22,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1567472,23680783,23,MALITHI_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680784,24,MALITHI_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680785,25,MALITHI_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680786,26,MALITHI_26,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1567472,23680787,27,MALITHI_27,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1567472,23680788,28,MALITHI_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1567472,23680789,29,MALITHI_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680790,30,MALITHI_30,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1567472,23680791,31,MALITHI_31,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1567472,23680792,32,MALITHI_32,-,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20210116,-
1567472,23680793,33,MALITHI_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680794,34,MALITHI_34,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
1567472,23680795,35,MALITHI_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680796,36,MALITHI_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680797,37,MALITHI_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680798,38,MALITHI_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680799,39,MALITHI_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680800,40,MALITHI_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680801,41,MALITHI_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680802,42,MALITHI_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680803,43,MALITHI_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680804,44,MALITHI_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680805,45,MALITHI_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680806,46,MALITHI_46,-,-,-,-,RecE,protein-coding,-,-,-,RecE,20210417,-
1567472,23680807,47,MALITHI_47,-,-,-,-,RecT,protein-coding,-,-,-,RecT,20201221,-
1567472,23680808,48,MALITHI_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680809,49,MALITHI_49,-,-,-,-,FtsK-like protein,protein-coding,-,-,-,FtsK-like protein,20210116,-
1567472,23680810,50,MALITHI_50,-,-,-,-,RusA-like protein,protein-coding,-,-,-,RusA-like protein,20210424,-
1567472,23680811,51,MALITHI_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680812,52,MALITHI_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680813,53,MALITHI_53,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1567472,23680814,54,MALITHI_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680815,55,MALITHI_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1567472,23680816,56,MALITHI_56,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1567472,23680817,57,MALITHI_57,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1567472,23680818,58,MALITHI_58,-,-,-,-,HTH binding domain protein,protein-coding,-,-,-,HTH binding domain protein,20210424,-
