#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1147142,14182570,F843_gp02,F843_gp02,HK578_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1147142,14182571,F843_gp03,F843_gp03,HK578_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182572,F843_gp04,F843_gp04,HK578_004,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201221,-
1147142,14182573,F843_gp05,F843_gp05,HK578_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182574,F843_gp06,F843_gp06,HK578_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182575,F843_gp07,F843_gp07,HK578_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182576,F843_gp08,F843_gp08,HK578_008,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1147142,14182577,F843_gp09,F843_gp09,HK578_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182578,F843_gp10,F843_gp10,HK578_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182579,F843_gp11,F843_gp11,HK578_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182580,F843_gp12,F843_gp12,HK578_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182581,F843_gp13,F843_gp13,HK578_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182582,F843_gp14,F843_gp14,HK578_014,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1147142,14182583,F843_gp15,F843_gp15,HK578_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182584,F843_gp16,F843_gp16,HK578_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182585,F843_gp17,F843_gp17,HK578_017,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20201221,-
1147142,14182586,F843_gp18,F843_gp18,HK578_018,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1147142,14182587,F843_gp19,F843_gp19,HK578_019,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1147142,14182588,F843_gp20,F843_gp20,HK578_020,-,-,-,tail component protein,protein-coding,-,-,-,tail component protein,20201221,-
1147142,14182589,F843_gp21,F843_gp21,HK578_021,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201221,-
1147142,14182590,F843_gp22,F843_gp22,HK578_022,-,-,-,bacteriophage host specificity protein,protein-coding,-,-,-,bacteriophage host specificity protein,20201221,-
1147142,14182591,F843_gp23,F843_gp23,HK578_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182592,F843_gp24,F843_gp24,HK578_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182593,F843_gp25,F843_gp25,HK578_025,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201221,-
1147142,14182594,F843_gp26,F843_gp26,HK578_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1147142,14182595,F843_gp27,F843_gp27,HK578_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
