#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250416,63911146,2,KDJ06_gp02,SEA_SERGEI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210420,-
2250416,63911147,3,KDJ06_gp03,SEA_SERGEI_3,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210420,-
2250416,63911148,4,KDJ06_gp04,SEA_SERGEI_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210420,-
2250416,63911149,5,KDJ06_gp05,SEA_SERGEI_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210420,-
2250416,63911150,6,KDJ06_gp06,SEA_SERGEI_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911151,7,KDJ06_gp07,SEA_SERGEI_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210420,-
2250416,63911152,8,KDJ06_gp08,SEA_SERGEI_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210420,-
2250416,63911153,9,KDJ06_gp09,SEA_SERGEI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911154,10,KDJ06_gp10,SEA_SERGEI_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210420,-
2250416,63911155,11,KDJ06_gp11,SEA_SERGEI_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210420,-
2250416,63911156,13,KDJ06_gp12,SEA_SERGEI_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2250416,63911157,14,KDJ06_gp14,SEA_SERGEI_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210420,-
2250416,63911158,12,KDJ06_gp13,SEA_SERGEI_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2250416,63911159,15,KDJ06_gp15,SEA_SERGEI_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2250416,63911160,16,KDJ06_gp16,SEA_SERGEI_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2250416,63911161,17,KDJ06_gp17,SEA_SERGEI_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2250416,63911162,18,KDJ06_gp18,SEA_SERGEI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2250416,63911163,19,KDJ06_gp19,SEA_SERGEI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911164,20,KDJ06_gp20,SEA_SERGEI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911165,21,KDJ06_gp21,SEA_SERGEI_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210420,-
2250416,63911166,22,KDJ06_gp22,SEA_SERGEI_22,-,-,-,holin,protein-coding,-,-,-,holin,20210420,-
2250416,63911167,23,KDJ06_gp23,SEA_SERGEI_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2250416,63911168,24,KDJ06_gp24,SEA_SERGEI_24,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210420,-
2250416,63911169,25,KDJ06_gp25,SEA_SERGEI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911170,26,KDJ06_gp26,SEA_SERGEI_26,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210420,-
2250416,63911171,27,KDJ06_gp27,SEA_SERGEI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911172,28,KDJ06_gp28,SEA_SERGEI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911173,29,KDJ06_gp29,SEA_SERGEI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911174,30,KDJ06_gp30,SEA_SERGEI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911175,31,KDJ06_gp31,SEA_SERGEI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911176,32,KDJ06_gp32,SEA_SERGEI_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911177,33,KDJ06_gp33,SEA_SERGEI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911178,34,KDJ06_gp34,SEA_SERGEI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911179,35,KDJ06_gp35,SEA_SERGEI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911180,36,KDJ06_gp36,SEA_SERGEI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911181,37,KDJ06_gp37,SEA_SERGEI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911182,38,KDJ06_gp38,SEA_SERGEI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911183,39,KDJ06_gp39,SEA_SERGEI_39,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210420,-
2250416,63911184,40,KDJ06_gp40,SEA_SERGEI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911185,41,KDJ06_gp41,SEA_SERGEI_41,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210420,-
2250416,63911186,42,KDJ06_gp42,SEA_SERGEI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911187,43,KDJ06_gp43,SEA_SERGEI_43,-,-,-,DNA primase/polymerase/helicase,protein-coding,-,-,-,DNA primase/polymerase/helicase,20210420,-
2250416,63911188,44,KDJ06_gp44,SEA_SERGEI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2250416,63911189,45,KDJ06_gp45,SEA_SERGEI_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210420,-
