#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1567025,24725610,HB2014_2,HB2014_2,-,-,-,-,putative rIIB,protein-coding,-,-,-,putative rIIB,20200629,-
1567025,24725611,HB2014_3,HB2014_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725612,HB2014_4,HB2014_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725613,HB2014_5,HB2014_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725614,HB2014_6,HB2014_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725615,HB2014_7,HB2014_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725616,HB2014_8,HB2014_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725617,HB2014_9,HB2014_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725618,HB2014_10,HB2014_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725619,HB2014_11,HB2014_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725620,HB2014_12,HB2014_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725621,HB2014_13,HB2014_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725622,HB2014_14,HB2014_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725623,HB2014_15,HB2014_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725624,HB2014_16,HB2014_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725625,HB2014_17,HB2014_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725626,HB2014_18,HB2014_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725627,HB2014_19,HB2014_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725628,HB2014_20,HB2014_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725629,HB2014_21,HB2014_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725630,HB2014_22,HB2014_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725631,HB2014_23,HB2014_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725632,HB2014_24,HB2014_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725633,HB2014_25,HB2014_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725634,HB2014_26,HB2014_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725635,HB2014_27,HB2014_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725636,HB2014_28,HB2014_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725637,HB2014_29,HB2014_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725638,HB2014_30,HB2014_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725639,HB2014_31,HB2014_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725640,HB2014_32,HB2014_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725641,HB2014_33,HB2014_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725642,HB2014_34,HB2014_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725643,HB2014_35,HB2014_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725644,HB2014_36,HB2014_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725645,HB2014_37,HB2014_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725646,HB2014_38,HB2014_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725647,HB2014_39,HB2014_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725648,HB2014_40,HB2014_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725649,HB2014_41,HB2014_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725650,HB2014_42,HB2014_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725651,HB2014_43,HB2014_43,-,-,-,-,putative lysis protein,protein-coding,-,-,-,putative lysis protein,20200629,-
1567025,24725652,HB2014_44,HB2014_44,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1567025,24725653,HB2014_45,HB2014_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725654,HB2014_46,HB2014_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1567025,24725655,HB2014_47,HB2014_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1567025,24725656,HB2014_t1,HB2014_t1,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725657,HB2014_t2,HB2014_t2,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725658,HB2014_t3,HB2014_t3,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725659,HB2014_t4,HB2014_t4,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725660,HB2014_t5,HB2014_t5,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725661,HB2014_t6,HB2014_t6,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725662,HB2014_t7,HB2014_t7,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725663,HB2014_t8,HB2014_t8,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1567025,24725664,HB2014_t9,HB2014_t9,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
