#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2725628,64471466,2,KGG87_gp02,SEA_ISSMI_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210505,-
2725628,64471467,3,KGG87_gp03,SEA_ISSMI_3,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210505,-
2725628,64471468,4,KGG87_gp04,SEA_ISSMI_4,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20210505,-
2725628,64471469,5,KGG87_gp05,SEA_ISSMI_5,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210505,-
2725628,64471470,6,KGG87_gp06,SEA_ISSMI_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471471,7,KGG87_gp07,SEA_ISSMI_7,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210505,-
2725628,64471472,8,KGG87_gp08,SEA_ISSMI_8,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210505,-
2725628,64471473,9,KGG87_gp09,SEA_ISSMI_9,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210505,-
2725628,64471474,10,KGG87_gp10,SEA_ISSMI_10,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210505,-
2725628,64471475,11,KGG87_gp11,SEA_ISSMI_11,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2725628,64471476,12,KGG87_gp12,SEA_ISSMI_12,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210505,-
2725628,64471477,13,KGG87_gp13,SEA_ISSMI_13,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210505,-
2725628,64471478,14,KGG87_gp14,SEA_ISSMI_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471479,15,KGG87_gp15,SEA_ISSMI_15,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210505,-
2725628,64471480,16,KGG87_gp16,SEA_ISSMI_16,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210505,-
2725628,64471481,18,KGG87_gp17,SEA_ISSMI_18,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2725628,64471482,19,KGG87_gp19,SEA_ISSMI_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210505,-
2725628,64471483,17,KGG87_gp18,SEA_ISSMI_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210505,-
2725628,64471484,20,KGG87_gp20,SEA_ISSMI_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2725628,64471485,21,KGG87_gp21,SEA_ISSMI_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2725628,64471486,22,KGG87_gp22,SEA_ISSMI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471487,23,KGG87_gp23,SEA_ISSMI_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2725628,64471488,24,KGG87_gp24,SEA_ISSMI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471489,25,KGG87_gp25,SEA_ISSMI_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210505,-
2725628,64471490,26,KGG87_gp26,SEA_ISSMI_26,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210505,-
2725628,64471491,27,KGG87_gp27,SEA_ISSMI_27,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210505,-
2725628,64471492,28,KGG87_gp28,SEA_ISSMI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471493,29,KGG87_gp29,SEA_ISSMI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471494,30,KGG87_gp30,SEA_ISSMI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471495,31,KGG87_gp31,SEA_ISSMI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471496,32,KGG87_gp32,SEA_ISSMI_32,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210505,-
2725628,64471497,33,KGG87_gp33,SEA_ISSMI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471498,34,KGG87_gp34,SEA_ISSMI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471499,35,KGG87_gp35,SEA_ISSMI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471500,36,KGG87_gp36,SEA_ISSMI_36,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210505,-
2725628,64471501,37,KGG87_gp37,SEA_ISSMI_37,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210505,-
2725628,64471502,38,KGG87_gp38,SEA_ISSMI_38,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210505,-
2725628,64471503,39,KGG87_gp39,SEA_ISSMI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471504,40,KGG87_gp40,SEA_ISSMI_40,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2725628,64471505,41,KGG87_gp41,SEA_ISSMI_41,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210505,-
2725628,64471506,42,KGG87_gp42,SEA_ISSMI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471507,43,KGG87_gp43,SEA_ISSMI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471508,44,KGG87_gp44,SEA_ISSMI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471509,45,KGG87_gp45,SEA_ISSMI_45,-,-,-,MRE11 double-strand break endo/exonuclease,protein-coding,-,-,-,MRE11 double-strand break endo/exonuclease,20210505,-
2725628,64471510,46,KGG87_gp46,SEA_ISSMI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471511,47,KGG87_gp47,SEA_ISSMI_47,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2725628,64471512,48,KGG87_gp48,SEA_ISSMI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471513,49,KGG87_gp49,SEA_ISSMI_49,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210505,-
2725628,64471514,50,KGG87_gp50,SEA_ISSMI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471515,51,KGG87_gp51,SEA_ISSMI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471516,52,KGG87_gp52,SEA_ISSMI_52,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210505,-
2725628,64471517,53,KGG87_gp53,SEA_ISSMI_53,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210505,-
2725628,64471518,54,KGG87_gp54,SEA_ISSMI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471519,55,KGG87_gp55,SEA_ISSMI_55,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210505,-
2725628,64471520,56,KGG87_gp56,SEA_ISSMI_56,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210505,-
2725628,64471521,57,KGG87_gp57,SEA_ISSMI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471522,58,KGG87_gp58,SEA_ISSMI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471523,59,KGG87_gp59,SEA_ISSMI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471524,60,KGG87_gp60,SEA_ISSMI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471525,61,KGG87_gp61,SEA_ISSMI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471526,62,KGG87_gp62,SEA_ISSMI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471527,63,KGG87_gp63,SEA_ISSMI_63,-,-,-,deoxynucleoside monophosphate,protein-coding,-,-,-,deoxynucleoside monophosphate,20210505,-
2725628,64471528,64,KGG87_gp64,SEA_ISSMI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471529,65,KGG87_gp65,SEA_ISSMI_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471530,66,KGG87_gp66,SEA_ISSMI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471531,67,KGG87_gp67,SEA_ISSMI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471532,68,KGG87_gp68,SEA_ISSMI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471533,69,KGG87_gp69,SEA_ISSMI_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471534,70,KGG87_gp70,SEA_ISSMI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471535,71,KGG87_gp71,SEA_ISSMI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471536,72,KGG87_gp72,SEA_ISSMI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471537,73,KGG87_gp73,SEA_ISSMI_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471538,74,KGG87_gp74,SEA_ISSMI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471539,75,KGG87_gp75,SEA_ISSMI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471540,76,KGG87_gp76,SEA_ISSMI_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471541,77,KGG87_gp77,SEA_ISSMI_77,-,-,-,acetyltransferase,protein-coding,-,-,-,acetyltransferase,20210505,-
2725628,64471542,78,KGG87_gp78,SEA_ISSMI_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471543,79,KGG87_gp79,SEA_ISSMI_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64471544,1,KGG87_gp01,SEA_ISSMI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2725628,64792260,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
