#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500805,24724492,PHL067M01_02,PHL067M01_02,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500805,24724493,PHL067M01_03,PHL067M01_03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1500805,24724494,PHL067M01_04,PHL067M01_04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724495,PHL067M01_05,PHL067M01_05,-,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201221,-
1500805,24724496,PHL067M01_06,PHL067M01_06,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1500805,24724497,PHL067M01_07,PHL067M01_07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724498,PHL067M01_08,PHL067M01_08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724499,PHL067M01_09,PHL067M01_09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724500,PHL067M01_10,PHL067M01_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724501,PHL067M01_11,PHL067M01_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1500805,24724502,PHL067M01_12,PHL067M01_12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724503,PHL067M01_13,PHL067M01_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724504,PHL067M01_14,PHL067M01_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1500805,24724505,PHL067M01_15,PHL067M01_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201221,-
1500805,24724506,PHL067M01_16,PHL067M01_16,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1500805,24724507,PHL067M01_17,PHL067M01_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724508,PHL067M01_18,PHL067M01_18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724509,PHL067M01_19,PHL067M01_19,-,-,-,-,collagen-like protein,protein-coding,-,-,-,collagen-like protein,20201221,-
1500805,24724510,PHL067M01_20,PHL067M01_20,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1500805,24724511,PHL067M01_21,PHL067M01_21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1500805,24724512,PHL067M01_22,PHL067M01_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724513,PHL067M01_23,PHL067M01_23,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1500805,24724514,PHL067M01_24,PHL067M01_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724515,PHL067M01_25,PHL067M01_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724516,PHL067M01_26,PHL067M01_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724517,PHL067M01_27,PHL067M01_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724518,PHL067M01_28,PHL067M01_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724519,PHL067M01_29,PHL067M01_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724520,PHL067M01_30,PHL067M01_30,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500805,24724521,PHL067M01_31,PHL067M01_31,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500805,24724522,PHL067M01_32,PHL067M01_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724523,PHL067M01_33,PHL067M01_33,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500805,24724524,PHL067M01_34,PHL067M01_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724525,PHL067M01_35,PHL067M01_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724526,PHL067M01_36,PHL067M01_36,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500805,24724527,PHL067M01_37,PHL067M01_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724528,PHL067M01_38,PHL067M01_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724529,PHL067M01_39,PHL067M01_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724530,PHL067M01_40,PHL067M01_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724531,PHL067M01_41,PHL067M01_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724532,PHL067M01_42,PHL067M01_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724533,PHL067M01_43,PHL067M01_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724534,PHL067M01_44,PHL067M01_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724535,PHL067M01_45,PHL067M01_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500805,24724536,PHL067M01_46,PHL067M01_46,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500805,24724537,PHL067M01_01,PHL067M01_01,-,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500805,24936518,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
