#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510495,55011094,2,HOV09_gp02,SEA_SONALI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2510495,55011095,3,HOV09_gp03,SEA_SONALI_3,-,-,-,portal and MuF-like fusion protein,protein-coding,-,-,-,portal and MuF-like fusion protein,20210403,-
2510495,55011096,4,HOV09_gp04,SEA_SONALI_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011097,5,HOV09_gp05,SEA_SONALI_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2510495,55011098,6,HOV09_gp06,SEA_SONALI_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011099,7,HOV09_gp07,SEA_SONALI_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2510495,55011100,8,HOV09_gp08,SEA_SONALI_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011101,9,HOV09_gp09,SEA_SONALI_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2510495,55011102,10,HOV09_gp10,SEA_SONALI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011103,11,HOV09_gp11,SEA_SONALI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011104,12,HOV09_gp12,SEA_SONALI_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2510495,55011105,13,HOV09_gp13,SEA_SONALI_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011106,14,HOV09_gp14,SEA_SONALI_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011107,16,HOV09_gp16,SEA_SONALI_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2510495,55011108,17,HOV09_gp17,SEA_SONALI_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2510495,55011109,18,HOV09_gp18,SEA_SONALI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2510495,55011110,19,HOV09_gp19,SEA_SONALI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011111,20,HOV09_gp20,SEA_SONALI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011112,21,HOV09_gp21,SEA_SONALI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011113,22,HOV09_gp22,SEA_SONALI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2510495,55011114,23,HOV09_gp23,SEA_SONALI_23,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
