#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
4959,3974664,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Candida famata; Candida famata var. famata; Debaryomyces tyrocola var. hansenii; Pichia hansenii; Saccharomyces hansenii; Torulaspora hansenii).,other,-,-,-,-,20191218,-
4959,5845842,ND2,KEG66_p11,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210525,-
4959,5845843,ATP6,KEG66_p05,-,-,MT,-,ATPase subunit 6,protein-coding,-,-,-,ATPase subunit 6,20210525,-
4959,5845844,SSU,KEG66_r01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20210525,-
4959,5845845,cob,KEG66_p09,-,-,MT,-,apocytochrome b;endonuclease,protein-coding,-,-,-,apocytochrome b;endonuclease,20210525,-
4959,5845846,ND4L,KEG66_p06,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210525,-
4959,5845847,ATP8,KEG66_p04,-,-,MT,-,ATPase subunit 8,protein-coding,-,-,-,ATPase subunit 8,20210525,-
4959,5845848,ND5,KEG66_p07,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210525,-
4959,5845849,LSU,KEG66_r02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20210525,-
4959,5845850,ATP9,KEG66_p03,-,-,MT,-,ATPase subunit 9,protein-coding,-,-,-,ATPase subunit 9,20210525,-
4959,5845851,ND3,KEG66_p10,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210525,-
4959,5845852,ND4,KEG66_p01,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210525,-
4959,5845853,cox1,KEG66_p02,-,-,MT,-,cytochrome c oxidase subunit 1;endonuclease,protein-coding,-,-,-,cytochrome c oxidase subunit 1;endonuclease,20210525,-
4959,5845854,cox2,KEG66_p14,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210525,-
4959,5845855,cox3,KEG66_p08,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210525,-
4959,5845856,ND6,KEG66_p13,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210525,-
4959,5845857,ND1,KEG66_p12,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210525,-
4959,64987774,KEG66_t24,KEG66_t24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987775,KEG66_t03,KEG66_t03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987776,KEG66_t08,KEG66_t08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987777,KEG66_t02,KEG66_t02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
4959,64987778,KEG66_t13,KEG66_t13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210525,-
