#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
287412,26634694,AVT80_gp21,AVT80_gp21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
287412,26634695,AVT80_gp02,AVT80_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634696,AVT80_gp03,AVT80_gp03,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201220,-
287412,26634697,AVT80_gp04,AVT80_gp04,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
287412,26634698,AVT80_gp05,AVT80_gp05,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
287412,26634699,AVT80_gp06,AVT80_gp06,-,-,-,-,putative prohead protease,protein-coding,-,-,-,putative prohead protease,20201220,-
287412,26634700,AVT80_gp07,AVT80_gp07,-,-,-,-,putative minor structural protein,protein-coding,-,-,-,putative minor structural protein,20201220,-
287412,26634701,AVT80_gp08,AVT80_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634702,AVT80_gp09,AVT80_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634703,AVT80_gp10,AVT80_gp10,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
287412,26634704,AVT80_gp11,AVT80_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634705,AVT80_gp12,AVT80_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634706,AVT80_gp13,AVT80_gp13,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201220,-
287412,26634707,AVT80_gp14,AVT80_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634708,AVT80_gp15,AVT80_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634709,AVT80_gp16,AVT80_gp16,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
287412,26634710,AVT80_gp17,AVT80_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634711,AVT80_gp18,AVT80_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634712,AVT80_gp19,AVT80_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634713,rbp,AVT80_gp20,-,-,-,-,receptor binding protein,protein-coding,-,-,-,receptor binding protein,20201220,-
287412,26634714,AVT80_gp22,AVT80_gp22,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201220,-
287412,26634715,AVT80_gp23,AVT80_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634716,AVT80_gp24,AVT80_gp24,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201220,-
287412,26634717,AVT80_gp25,AVT80_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634718,AVT80_gp26,AVT80_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634719,AVT80_gp27,AVT80_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634720,AVT80_gp28,AVT80_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634721,AVT80_gp29,AVT80_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634722,AVT80_gp30,AVT80_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634723,AVT80_gp31,AVT80_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
287412,26634724,AVT80_gp32,AVT80_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
