#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
272559,3293639,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteroides fragilis ATCC 25285; Bacteroides fragilis str. NCTC 9343; Bacteroides fragilis strain NCTC 9343).,other,-,-,-,-,20201207,-
272559,60365685,BF9343_RS12160,BF9343_RS12160,BFt34,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60365753,BF9343_RS02250,BF9343_RS02250,BFt06,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60365825,BF9343_RS19515,BF9343_RS19515,BFt62,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60365852,BF9343_RS18345,BF9343_RS18345,BFt54,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60365891,BF9343_RS19505,BF9343_RS19505,BFt61,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366024,BF9343_RS13845,BF9343_RS13845,BFt41,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366059,BF9343_RS20315,BF9343_RS20315,BFt68,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366190,BF9343_RS05655,BF9343_RS05655,BFt15,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366203,BF9343_RS02140,BF9343_RS02140,BFt04,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366217,BF9343_RS04115,BF9343_RS04115,BFt12,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366219,BF9343_RS19130,BF9343_RS19130,BFt59,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366227,BF9343_RS02145,BF9343_RS02145,BFt05,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366268,BF9343_RS13850,BF9343_RS13850,BFt42,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366271,BF9343_RS12180,BF9343_RS12180,BFt38,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366292,BF9343_RS13155,BF9343_RS13155,BFt39,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366312,BF9343_RS17040,BF9343_RS17040,BFt49,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366387,BF9343_RS02710,BF9343_RS02710,BFt09,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366412,BF9343_RS09900,BF9343_RS09900,BFt23,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366456,BF9343_RS19530,BF9343_RS19530,BFt65,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366693,BF9343_RS15745,BF9343_RS15745,BFt46,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366723,BF9343_RS15790,BF9343_RS15790,BFt47,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60366975,BF9343_RS14670,BF9343_RS14670,BFt43,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367082,BF9343_RS15740,BF9343_RS15740,BFt45,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367083,BF9343_RS20970,BF9343_RS20970,BFt71,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367112,BF9343_RS11810,BF9343_RS11810,BFt29,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367117,BF9343_RS03285,BF9343_RS03285,BFt11,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367154,BF9343_RS11240,BF9343_RS11240,BFt25,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367230,BF9343_RS19035,BF9343_RS19035,BFt58,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367386,BF9343_RS18895,BF9343_RS18895,BFt57,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367398,BF9343_RS18350,BF9343_RS18350,BFt55,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367839,BF9343_RS20320,BF9343_RS20320,BFt69,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367871,BF9343_RS08755,BF9343_RS08755,BFt21,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367880,BF9343_RS08750,BF9343_RS08750,BFt20,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367940,BF9343_RS20065,BF9343_RS20065,BFt67,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60367962,BF9343_RS06365,BF9343_RS06365,BFt18,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368055,BF9343_RS12175,BF9343_RS12175,BFt37,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368105,BF9343_RS21010,BF9343_RS21010,BFt72,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368131,BF9343_RS12165,BF9343_RS12165,BFt35,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368168,BF9343_RS11585,BF9343_RS11585,BFt28,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368281,BF9343_RS14880,BF9343_RS14880,BFt44,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368287,BF9343_RS04120,BF9343_RS04120,BFt13,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368329,BF9343_RS01615,BF9343_RS01615,BFt03,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368407,BF9343_RS19525,BF9343_RS19525,BFt64,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368550,BF9343_RS19520,BF9343_RS19520,BFt63,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368597,BF9343_RS18080,BF9343_RS18080,BFt52,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368610,BF9343_RS01140,BF9343_RS01140,BFt02,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368746,BF9343_RS11820,BF9343_RS11820,BFt31,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368831,BF9343_RS13160,BF9343_RS13160,BFt40,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
272559,60368835,BF9343_RS21015,BF9343_RS21015,BFt73,-,-,-,tRNA,tRNA,-,-,-,-,20201202,-
