#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1913038,60334349,I5H93_gp002,I5H93_gp002,SEA_SUPERGREY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
1913038,60334350,I5H93_gp003,I5H93_gp003,SEA_SUPERGREY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1913038,60334351,I5H93_gp004,I5H93_gp004,SEA_SUPERGREY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
1913038,60334352,I5H93_gp005,I5H93_gp005,SEA_SUPERGREY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
1913038,60334353,I5H93_gp006,I5H93_gp006,SEA_SUPERGREY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1913038,60334354,I5H93_gp007,I5H93_gp007,SEA_SUPERGREY_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
1913038,60334355,I5H93_gp008,I5H93_gp008,SEA_SUPERGREY_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
1913038,60334356,I5H93_gp009,I5H93_gp009,SEA_SUPERGREY_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1913038,60334357,I5H93_gp010,I5H93_gp010,SEA_SUPERGREY_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
1913038,60334358,I5H93_gp011,I5H93_gp011,SEA_SUPERGREY_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
1913038,60334359,I5H93_gp012,I5H93_gp012,SEA_SUPERGREY_13,-,-,-,tail assembly chaperone protein,protein-coding,-,-,-,tail assembly chaperone protein,20201129,-
1913038,60334360,I5H93_gp014,I5H93_gp014,SEA_SUPERGREY_14,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1913038,60334361,I5H93_gp013,I5H93_gp013,SEA_SUPERGREY_12,-,-,-,tail assemply chaperone protein,protein-coding,-,-,-,tail assemply chaperone protein,20201129,-
1913038,60334362,I5H93_gp015,I5H93_gp015,SEA_SUPERGREY_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
1913038,60334363,I5H93_gp016,I5H93_gp016,SEA_SUPERGREY_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1913038,60334364,I5H93_gp017,I5H93_gp017,SEA_SUPERGREY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1913038,60334365,I5H93_gp018,I5H93_gp018,SEA_SUPERGREY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1913038,60334366,I5H93_gp019,I5H93_gp019,SEA_SUPERGREY_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1913038,60334367,I5H93_gp020,I5H93_gp020,SEA_SUPERGREY_20,-,-,-,D-ala-D-ala-carboxypeptidase,protein-coding,-,-,-,D-ala-D-ala-carboxypeptidase,20210417,-
1913038,60334368,I5H93_gp021,I5H93_gp021,SEA_SUPERGREY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
1913038,60334369,I5H93_gp022,I5H93_gp022,SEA_SUPERGREY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334370,I5H93_gp023,I5H93_gp023,SEA_SUPERGREY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334371,I5H93_gp024,I5H93_gp024,SEA_SUPERGREY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334372,I5H93_gp025,I5H93_gp025,SEA_SUPERGREY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334373,I5H93_gp026,I5H93_gp026,SEA_SUPERGREY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334374,I5H93_gp027,I5H93_gp027,SEA_SUPERGREY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334375,I5H93_gp028,I5H93_gp028,SEA_SUPERGREY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334376,I5H93_gp029,I5H93_gp029,SEA_SUPERGREY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1913038,60334377,I5H93_gp030,I5H93_gp030,SEA_SUPERGREY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334378,I5H93_gp031,I5H93_gp031,SEA_SUPERGREY_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
1913038,60334379,I5H93_gp032,I5H93_gp032,SEA_SUPERGREY_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
1913038,60334380,I5H93_gp033,I5H93_gp033,SEA_SUPERGREY_33,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
1913038,60334381,I5H93_gp034,I5H93_gp034,SEA_SUPERGREY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1913038,60334382,I5H93_gp035,I5H93_gp035,SEA_SUPERGREY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334383,I5H93_gp036,I5H93_gp036,SEA_SUPERGREY_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210417,-
1913038,60334384,I5H93_gp037,I5H93_gp037,SEA_SUPERGREY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334385,I5H93_gp039,I5H93_gp039,SEA_SUPERGREY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334386,I5H93_gp040,I5H93_gp040,SEA_SUPERGREY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334387,I5H93_gp042,I5H93_gp042,SEA_SUPERGREY_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210529,-
1913038,60334388,I5H93_gp043,I5H93_gp043,SEA_SUPERGREY_43,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
1913038,60334389,I5H93_gp044,I5H93_gp044,SEA_SUPERGREY_44,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
1913038,60334390,I5H93_gp045,I5H93_gp045,SEA_SUPERGREY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334391,I5H93_gp046,I5H93_gp046,SEA_SUPERGREY_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
1913038,60334392,I5H93_gp047,I5H93_gp047,SEA_SUPERGREY_47,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201203,-
1913038,60334393,I5H93_gp048,I5H93_gp048,SEA_SUPERGREY_48,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
1913038,60334394,I5H93_gp049,I5H93_gp049,SEA_SUPERGREY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334395,I5H93_gp050,I5H93_gp050,SEA_SUPERGREY_50,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201129,-
1913038,60334396,I5H93_gp051,I5H93_gp051,SEA_SUPERGREY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334397,I5H93_gp052,I5H93_gp052,SEA_SUPERGREY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334398,I5H93_gp053,I5H93_gp053,SEA_SUPERGREY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1913038,60334399,I5H93_gp054,I5H93_gp054,SEA_SUPERGREY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334400,I5H93_gp056,I5H93_gp056,SEA_SUPERGREY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334401,I5H93_gp057,I5H93_gp057,SEA_SUPERGREY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334402,I5H93_gp058,I5H93_gp058,SEA_SUPERGREY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334403,I5H93_gp059,I5H93_gp059,SEA_SUPERGREY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334404,I5H93_gp060,I5H93_gp060,SEA_SUPERGREY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1913038,60334405,I5H93_gp061,I5H93_gp061,SEA_SUPERGREY_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
1913038,60334406,I5H93_gp062,I5H93_gp062,SEA_SUPERGREY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1913038,60334407,I5H93_gp063,I5H93_gp063,SEA_SUPERGREY_63,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210417,-
1913038,60334408,I5H93_gp064,I5H93_gp064,SEA_SUPERGREY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334409,I5H93_gp066,I5H93_gp066,SEA_SUPERGREY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1913038,60334410,I5H93_gp067,I5H93_gp067,SEA_SUPERGREY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334411,I5H93_gp068,I5H93_gp068,SEA_SUPERGREY_68,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210424,-
1913038,60334412,I5H93_gp069,I5H93_gp069,SEA_SUPERGREY_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
1913038,60334413,I5H93_gp070,I5H93_gp070,SEA_SUPERGREY_70,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
1913038,60334414,I5H93_gp071,I5H93_gp071,SEA_SUPERGREY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334415,I5H93_gp072,I5H93_gp072,SEA_SUPERGREY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
1913038,60334416,I5H93_gp073,I5H93_gp073,SEA_SUPERGREY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
