#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2744011,64871589,2,KIV64_gp02,SEA_DROOGSARMY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210515,-
2744011,64871590,3,KIV64_gp03,SEA_DROOGSARMY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871591,4,KIV64_gp04,SEA_DROOGSARMY_4,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210522,-
2744011,64871592,5,KIV64_gp05,SEA_DROOGSARMY_5,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210522,-
2744011,64871593,6,KIV64_gp06,SEA_DROOGSARMY_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210522,-
2744011,64871594,7,KIV64_gp07,SEA_DROOGSARMY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871595,8,KIV64_gt01,SEA_DROOGSARMY_8,-,-,-,tRNA,tRNA,-,-,-,-,20210515,-
2744011,64871596,9,KIV64_gp83,SEA_DROOGSARMY_9,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210515,-
2744011,64871597,10,KIV64_gp82,SEA_DROOGSARMY_10,-,-,-,holin,protein-coding,-,-,-,holin,20210515,-
2744011,64871598,11,KIV64_gp81,SEA_DROOGSARMY_11,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210515,-
2744011,64871599,12,KIV64_gp80,SEA_DROOGSARMY_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210522,-
2744011,64871600,13,KIV64_gp79,SEA_DROOGSARMY_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210522,-
2744011,64871601,14,KIV64_gp78,SEA_DROOGSARMY_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210515,-
2744011,64871602,15,KIV64_gp77,SEA_DROOGSARMY_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210515,-
2744011,64871603,16,KIV64_gp76,SEA_DROOGSARMY_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210522,-
2744011,64871604,17,KIV64_gp75,SEA_DROOGSARMY_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871605,18,KIV64_gp74,SEA_DROOGSARMY_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210522,-
2744011,64871606,19,KIV64_gp73,SEA_DROOGSARMY_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871607,20,KIV64_gp72,SEA_DROOGSARMY_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210515,-
2744011,64871608,21,KIV64_gp71,SEA_DROOGSARMY_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2744011,64871609,22,KIV64_gp70,SEA_DROOGSARMY_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210515,-
2744011,64871610,23,KIV64_gp69,SEA_DROOGSARMY_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210515,-
2744011,64871611,25,KIV64_gp68,SEA_DROOGSARMY_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210522,-
2744011,64871612,26,KIV64_gp66,SEA_DROOGSARMY_26,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210522,-
2744011,64871613,24,KIV64_gp67,SEA_DROOGSARMY_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210522,-
2744011,64871614,27,KIV64_gp65,SEA_DROOGSARMY_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2744011,64871615,28,KIV64_gp64,SEA_DROOGSARMY_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2744011,64871616,29,KIV64_gp63,SEA_DROOGSARMY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2744011,64871617,30,KIV64_gp62,SEA_DROOGSARMY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871618,31,KIV64_gp61,SEA_DROOGSARMY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871619,32,KIV64_gp60,SEA_DROOGSARMY_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2744011,64871620,33,KIV64_gp59,SEA_DROOGSARMY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2744011,64871621,34,KIV64_gp58,SEA_DROOGSARMY_34,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210522,-
2744011,64871622,35,KIV64_gp57,SEA_DROOGSARMY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
