#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772310,40078670,2,FDH61_gp02,PREAMBLE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772310,40078671,3,FDH61_gp03,PREAMBLE_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1772310,40078672,4,FDH61_gp04,PREAMBLE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1772310,40078673,5,FDH61_gp05,PREAMBLE_5,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20201221,-
1772310,40078674,6,FDH61_gp06,PREAMBLE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078675,7,FDH61_gp07,PREAMBLE_7,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1772310,40078676,8,FDH61_gp08,PREAMBLE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078677,9,FDH61_gp09,PREAMBLE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078678,10,FDH61_gp10,PREAMBLE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078679,11,FDH61_gp11,PREAMBLE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078680,13,FDH61_gp12,PREAMBLE_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1772310,40078681,14,FDH61_gp14,PREAMBLE_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1772310,40078682,12,FDH61_gp13,PREAMBLE_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1772310,40078683,15,FDH61_gp15,PREAMBLE_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772310,40078684,16,FDH61_gp16,PREAMBLE_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772310,40078685,17,FDH61_gp17,PREAMBLE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772310,40078686,18,FDH61_gp18,PREAMBLE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772310,40078687,19,FDH61_gp19,PREAMBLE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078688,20,FDH61_gp20,PREAMBLE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078689,21,FDH61_gp21,PREAMBLE_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1772310,40078690,22,FDH61_gp22,PREAMBLE_22,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1772310,40078691,23,FDH61_gp23,PREAMBLE_23,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772310,40078692,24,FDH61_gp24,PREAMBLE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078693,25,FDH61_gp25,PREAMBLE_25,-,-,-,helicase,protein-coding,-,-,-,helicase,20210424,-
1772310,40078694,26,FDH61_gp26,PREAMBLE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078695,27,FDH61_gp27,PREAMBLE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078696,28,FDH61_gp28,PREAMBLE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078697,29,FDH61_gp29,PREAMBLE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078698,30,FDH61_gp30,PREAMBLE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078699,31,FDH61_gp31,PREAMBLE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078700,32,FDH61_gp32,PREAMBLE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078701,33,FDH61_gp33,PREAMBLE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078702,34,FDH61_gp34,PREAMBLE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078703,35,FDH61_gp35,PREAMBLE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078704,36,FDH61_gp36,PREAMBLE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078705,37,FDH61_gp37,PREAMBLE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078706,38,FDH61_gp38,PREAMBLE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078707,39,FDH61_gp39,PREAMBLE_39,-,-,-,helicase,protein-coding,-,-,-,helicase,20210424,-
1772310,40078708,40,FDH61_gp40,PREAMBLE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078709,41,FDH61_gp41,PREAMBLE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078710,42,FDH61_gp42,PREAMBLE_42,-,-,-,ABC transporter ATP binding domain protein,protein-coding,-,-,-,ABC transporter ATP binding domain protein,20201221,-
1772310,40078711,43,FDH61_gp43,PREAMBLE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078712,44,FDH61_gp44,PREAMBLE_44,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1772310,40078713,45,FDH61_gp45,PREAMBLE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078714,47,FDH61_gp47,PREAMBLE_47,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1772310,40078715,48,FDH61_gp48,PREAMBLE_48,-,-,-,adenylosuccinate synthetase,protein-coding,-,-,-,adenylosuccinate synthetase,20201221,-
1772310,40078716,49,FDH61_gp49,PREAMBLE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078717,50,FDH61_gp50,PREAMBLE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078718,51,FDH61_gp51,PREAMBLE_51,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20201221,-
1772310,40078719,52,FDH61_gp52,PREAMBLE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078720,53,FDH61_gp53,PREAMBLE_53,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201221,-
1772310,40078721,54,FDH61_gp54,PREAMBLE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078722,55,FDH61_gp55,PREAMBLE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078723,56,FDH61_gp56,PREAMBLE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078724,57,FDH61_gp57,PREAMBLE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078725,58,FDH61_gp58,PREAMBLE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772310,40078726,59,FDH61_gp59,PREAMBLE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
