#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2675260,65070208,KMC99_gp02,KMC99_gp02,CHPC972_001145,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210608,-
2675260,65070209,KMC99_gp03,KMC99_gp03,CHPC972_001146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070210,KMC99_gp04,KMC99_gp04,CHPC972_001147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070211,KMC99_gp05,KMC99_gp05,CHPC972_001148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070212,KMC99_gp06,KMC99_gp06,CHPC972_001149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070213,KMC99_gp07,KMC99_gp07,CHPC972_001150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070214,KMC99_gp08,KMC99_gp08,CHPC972_001151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070215,KMC99_gp09,KMC99_gp09,CHPC972_001152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070216,KMC99_gp10,KMC99_gp10,CHPC972_001153,-,-,-,essential recombination function protein,protein-coding,-,-,-,essential recombination function protein,20210608,-
2675260,65070217,KMC99_gp11,KMC99_gp11,CHPC972_001154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070218,KMC99_gp12,KMC99_gp12,CHPC972_001155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070219,KMC99_gp13,KMC99_gp13,CHPC972_001156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070220,KMC99_gp14,KMC99_gp14,CHPC972_001157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2675260,65070221,KMC99_gp15,KMC99_gp15,CHPC972_001158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
