#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2794947,63027115,2,J1773_gp02,SEA_LILBEANIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210605,-
2794947,63027116,3,J1773_gp03,SEA_LILBEANIE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027117,4,J1773_gp04,SEA_LILBEANIE_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027118,5,J1773_gp05,SEA_LILBEANIE_5,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2794947,63027119,6,J1773_gp06,SEA_LILBEANIE_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027120,7,J1773_gp07,SEA_LILBEANIE_7,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2794947,63027121,9,J1773_gp09,SEA_LILBEANIE_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027122,10,J1773_gp10,SEA_LILBEANIE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027123,11,J1773_gp11,SEA_LILBEANIE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027124,12,J1773_gp12,SEA_LILBEANIE_12,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210605,-
2794947,63027125,13,J1773_gp13,SEA_LILBEANIE_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210309,-
2794947,63027126,14,J1773_gp14,SEA_LILBEANIE_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027127,15,J1773_gp15,SEA_LILBEANIE_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210605,-
2794947,63027128,16,J1773_gp16,SEA_LILBEANIE_16,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210605,-
2794947,63027129,17,J1773_gp17,SEA_LILBEANIE_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027130,18,J1773_gp18,SEA_LILBEANIE_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794947,63027131,19,J1773_gp19,SEA_LILBEANIE_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027132,20,J1773_gp20,SEA_LILBEANIE_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794947,63027133,21,J1773_gp21,SEA_LILBEANIE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027134,22,J1773_gp22,SEA_LILBEANIE_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2794947,63027135,23,J1773_gp23,SEA_LILBEANIE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027136,24,J1773_gp24,SEA_LILBEANIE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027137,25,J1773_gp25,SEA_LILBEANIE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2794947,63027138,26,J1773_gp26,SEA_LILBEANIE_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2794947,63027139,27,J1773_gp27,SEA_LILBEANIE_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2794947,63027140,28,J1773_gp28,SEA_LILBEANIE_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210605,-
2794947,63027141,29,J1773_gp29,SEA_LILBEANIE_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794947,63027142,30,J1773_gp30,SEA_LILBEANIE_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794947,63027143,31,J1773_gp31,SEA_LILBEANIE_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794947,63027144,32,J1773_gp32,SEA_LILBEANIE_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794947,63027145,33,J1773_gp33,SEA_LILBEANIE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027146,34,J1773_gp34,SEA_LILBEANIE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027147,35,J1773_gp35,SEA_LILBEANIE_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2794947,63027148,36,J1773_gp36,SEA_LILBEANIE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027149,37,J1773_gp37,SEA_LILBEANIE_37,-,-,-,"lysin A, protease C39 domain",protein-coding,-,-,-,"lysin A, protease C39 domain",20210605,-
2794947,63027150,38,J1773_gp38,SEA_LILBEANIE_38,-,-,-,"lysin A, glycosyl hydrolase domain",protein-coding,-,-,-,"lysin A, glycosyl hydrolase domain",20210605,-
2794947,63027151,39,J1773_gp39,SEA_LILBEANIE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027152,40,J1773_gp40,SEA_LILBEANIE_40,-,-,-,cysteine protease,protein-coding,-,-,-,cysteine protease,20210605,-
2794947,63027153,41,J1773_gp41,SEA_LILBEANIE_41,-,-,-,holin,protein-coding,-,-,-,holin,20210605,-
2794947,63027154,42,J1773_gp42,SEA_LILBEANIE_42,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2794947,63027155,43,J1773_gp43,SEA_LILBEANIE_43,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2794947,63027156,44,J1773_gp44,SEA_LILBEANIE_44,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2794947,63027157,45,J1773_gp45,SEA_LILBEANIE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027158,46,J1773_gp46,SEA_LILBEANIE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027159,47,J1773_gp47,SEA_LILBEANIE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027160,48,J1773_gp48,SEA_LILBEANIE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027161,49,J1773_gp49,SEA_LILBEANIE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027162,50,J1773_gp50,SEA_LILBEANIE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027163,51,J1773_gp51,SEA_LILBEANIE_51,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210605,-
2794947,63027164,52,J1773_gp52,SEA_LILBEANIE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027165,53,J1773_gp53,SEA_LILBEANIE_53,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210605,-
2794947,63027166,54,J1773_gp54,SEA_LILBEANIE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027167,55,J1773_gp55,SEA_LILBEANIE_55,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210605,-
2794947,63027168,56,J1773_gp56,SEA_LILBEANIE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027169,57,J1773_gp57,SEA_LILBEANIE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027170,58,J1773_gp58,SEA_LILBEANIE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027171,59,J1773_gp59,SEA_LILBEANIE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027172,60,J1773_gp60,SEA_LILBEANIE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027173,61,J1773_gp61,SEA_LILBEANIE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027174,62,J1773_gp62,SEA_LILBEANIE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027175,63,J1773_gp63,SEA_LILBEANIE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027176,64,J1773_gp64,SEA_LILBEANIE_64,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210605,-
2794947,63027177,65,J1773_gp65,SEA_LILBEANIE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027178,66,J1773_gp66,SEA_LILBEANIE_66,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210605,-
2794947,63027179,67,J1773_gp67,SEA_LILBEANIE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027180,68,J1773_gp68,SEA_LILBEANIE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027181,69,J1773_gp69,SEA_LILBEANIE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027182,70,J1773_gp70,SEA_LILBEANIE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027183,71,J1773_gp71,SEA_LILBEANIE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2794947,63027184,72,J1773_gp72,SEA_LILBEANIE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
