#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821556,29125486,2,SEA_KITA_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1821556,29125487,3,SEA_KITA_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125488,4,SEA_KITA_4,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1821556,29125489,5,SEA_KITA_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1821556,29125490,6,SEA_KITA_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1821556,29125491,7,SEA_KITA_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1821556,29125492,8,SEA_KITA_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1821556,29125493,9,SEA_KITA_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1821556,29125494,10,SEA_KITA_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125495,11,SEA_KITA_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1821556,29125496,12,SEA_KITA_12,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1821556,29125497,13,SEA_KITA_13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125498,14,SEA_KITA_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821556,29125499,15,SEA_KITA_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1821556,29125500,16,SEA_KITA_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1821556,29125501,17,SEA_KITA_17,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1821556,29125502,18,SEA_KITA_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821556,29125503,19,SEA_KITA_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1821556,29125504,20,SEA_KITA_20,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1821556,29125505,21,SEA_KITA_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125506,22,SEA_KITA_22,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1821556,29125507,23,SEA_KITA_23,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821556,29125508,24,SEA_KITA_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821556,29125509,25,SEA_KITA_25,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1821556,29125510,26,SEA_KITA_26,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
