#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2059881,54987181,HOS58_gp02,HOS58_gp02,SEA_ATTOOMI_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2059881,54987182,HOS58_gp03,HOS58_gp03,SEA_ATTOOMI_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2059881,54987183,HOS58_gp04,HOS58_gp04,SEA_ATTOOMI_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2059881,54987184,HOS58_gp05,HOS58_gp05,SEA_ATTOOMI_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2059881,54987185,HOS58_gp06,HOS58_gp06,SEA_ATTOOMI_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2059881,54987186,HOS58_gp07,HOS58_gp07,SEA_ATTOOMI_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2059881,54987187,HOS58_gp08,HOS58_gp08,SEA_ATTOOMI_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210403,-
2059881,54987188,HOS58_gp09,HOS58_gp09,SEA_ATTOOMI_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210403,-
2059881,54987189,HOS58_gp10,HOS58_gp10,SEA_ATTOOMI_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059881,54987190,HOS58_gp11,HOS58_gp11,SEA_ATTOOMI_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987191,HOS58_gp12,HOS58_gp12,SEA_ATTOOMI_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2059881,54987192,HOS58_gp13,HOS58_gp13,SEA_ATTOOMI_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2059881,54987193,HOS58_gp15,HOS58_gp15,SEA_ATTOOMI_15,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2059881,54987194,HOS58_gp14,HOS58_gp14,SEA_ATTOOMI_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2059881,54987195,HOS58_gp16,HOS58_gp16,SEA_ATTOOMI_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210403,-
2059881,54987196,HOS58_gp17,HOS58_gp17,SEA_ATTOOMI_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987197,HOS58_gp18,HOS58_gp18,SEA_ATTOOMI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2059881,54987198,HOS58_gp19,HOS58_gp19,SEA_ATTOOMI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987199,HOS58_gp20,HOS58_gp20,SEA_ATTOOMI_20,-,-,-,LysM-like endolysin,protein-coding,-,-,-,LysM-like endolysin,20210403,-
2059881,54987200,HOS58_gp21,HOS58_gp21,SEA_ATTOOMI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987201,HOS58_gp22,HOS58_gp22,SEA_ATTOOMI_22,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210403,-
2059881,54987202,HOS58_gp23,HOS58_gp23,SEA_ATTOOMI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987203,HOS58_gp24,HOS58_gp24,SEA_ATTOOMI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2059881,54987204,HOS58_gp25,HOS58_gp25,SEA_ATTOOMI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2059881,54987205,HOS58_gp26,HOS58_gp26,SEA_ATTOOMI_26,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2059881,54987206,HOS58_gp27,HOS58_gp27,SEA_ATTOOMI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
