#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1864623,29066347,BI095_gp02,BI095_gp02,-,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200629,-
1864623,29066348,BI095_gp03,BI095_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066349,BI095_gp04,BI095_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066350,BI095_gp05,BI095_gp05,-,-,-,-,putative head-tail connecting protein,protein-coding,-,-,-,putative head-tail connecting protein,20200629,-
1864623,29066351,BI095_gp06,BI095_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066352,BI095_gp07,BI095_gp07,-,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20200629,-
1864623,29066353,BI095_gp08,BI095_gp08,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200629,-
1864623,29066354,BI095_gp09,BI095_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066355,BI095_gp10,BI095_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066356,BI095_gp11,BI095_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066357,BI095_gp12,BI095_gp12,-,-,-,-,putative adaptor protein,protein-coding,-,-,-,putative adaptor protein,20200629,-
1864623,29066358,BI095_gp13,BI095_gp13,-,-,-,-,putative head closure protein,protein-coding,-,-,-,putative head closure protein,20200629,-
1864623,29066359,BI095_gp14,BI095_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066360,BI095_gp15,BI095_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066361,BI095_gp16,BI095_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066362,BI095_gp17,BI095_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066363,BI095_gp18,BI095_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066364,BI095_gp19,BI095_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066365,BI095_gp20,BI095_gp20,-,-,-,-,putative anti-repressor protein,protein-coding,-,-,-,putative anti-repressor protein,20200629,-
1864623,29066366,BI095_gp21,BI095_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066367,BI095_gp22,BI095_gp22,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1864623,29066368,BI095_gp23,BI095_gp23,-,-,-,-,putative acyltransferase,protein-coding,-,-,-,putative acyltransferase,20200629,-
1864623,29066369,BI095_gp24,BI095_gp24,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1864623,29066370,BI095_gp25,BI095_gp25,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200629,-
1864623,29066371,BI095_gp26,BI095_gp26,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200629,-
1864623,29066372,BI095_gp27,BI095_gp27,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20200629,-
1864623,29066373,BI095_gp28,BI095_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066374,BI095_gp29,BI095_gp29,-,-,-,-,putative adenine methylase,protein-coding,-,-,-,putative adenine methylase,20200629,-
1864623,29066375,BI095_gp30,BI095_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1864623,29066376,BI095_gp31,BI095_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
