#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2675256,55815222,HYQ17_gp02,HYQ17_gp02,CHPC964_000961,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200905,-
2675256,55815223,HYQ17_gp03,HYQ17_gp03,CHPC964_000962,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210424,-
2675256,55815224,HYQ17_gp04,HYQ17_gp04,CHPC964_000963,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2675256,55815225,HYQ17_gp05,HYQ17_gp05,CHPC964_000964,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200905,-
2675256,55815226,HYQ17_gp06,HYQ17_gp06,CHPC964_000965,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200704,-
2675256,55815227,HYQ17_gp07,HYQ17_gp07,CHPC964_000966,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815228,HYQ17_gp08,HYQ17_gp08,CHPC964_000967,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815229,HYQ17_gp09,HYQ17_gp09,CHPC964_000968,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815230,HYQ17_gp10,HYQ17_gp10,CHPC964_000969,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815231,HYQ17_gp11,HYQ17_gp11,CHPC964_000970,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815232,HYQ17_gp12,HYQ17_gp12,CHPC964_000971,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20200905,-
2675256,55815233,HYQ17_gp13,HYQ17_gp13,CHPC964_000972,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815234,HYQ17_gp14,HYQ17_gp14,CHPC964_000973,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815235,HYQ17_gp15,HYQ17_gp15,CHPC964_000974,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200704,-
2675256,55815236,HYQ17_gp16,HYQ17_gp16,CHPC964_000975,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815237,HYQ17_gp17,HYQ17_gp17,CHPC964_000976,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2675256,55815238,HYQ17_gp18,HYQ17_gp18,CHPC964_000977,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2675256,55815239,HYQ17_gp19,HYQ17_gp19,CHPC964_000978,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815240,HYQ17_gp20,HYQ17_gp20,CHPC964_000979,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815241,HYQ17_gp21,HYQ17_gp21,CHPC964_000980,-,-,-,holin,protein-coding,-,-,-,holin,20200704,-
2675256,55815242,HYQ17_gp22,HYQ17_gp22,CHPC964_000981,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20200905,-
2675256,55815243,HYQ17_gp23,HYQ17_gp23,CHPC964_000982,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2675256,55815244,HYQ17_gp24,HYQ17_gp24,CHPC964_000983,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815245,HYQ17_gp25,HYQ17_gp25,CHPC964_000984,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815246,HYQ17_gp26,HYQ17_gp26,CHPC964_000985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815247,HYQ17_gp27,HYQ17_gp27,CHPC964_000986,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815248,HYQ17_gp28,HYQ17_gp28,CHPC964_000987,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815249,HYQ17_gp29,HYQ17_gp29,CHPC964_000988,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815250,HYQ17_gp30,HYQ17_gp30,CHPC964_000989,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2675256,55815251,HYQ17_gp31,HYQ17_gp31,CHPC964_000990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815252,HYQ17_gp32,HYQ17_gp32,CHPC964_000991,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815253,HYQ17_gp33,HYQ17_gp33,CHPC964_000992,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815254,HYQ17_gp34,HYQ17_gp34,CHPC964_000993,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815255,HYQ17_gp35,HYQ17_gp35,CHPC964_000994,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815256,HYQ17_gp36,HYQ17_gp36,CHPC964_000995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815257,HYQ17_gp37,HYQ17_gp37,CHPC964_000996,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815258,HYQ17_gp38,HYQ17_gp38,CHPC964_000997,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20200704,-
2675256,55815259,HYQ17_gp39,HYQ17_gp39,CHPC964_000998,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2675256,55815260,HYQ17_gp40,HYQ17_gp40,CHPC964_000999,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20200912,-
2675256,55815261,HYQ17_gp41,HYQ17_gp41,CHPC964_001000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
