#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
933801,10044094,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acidianus hospitalis str. W1; Acidianus hospitalis strain W1).,other,-,-,-,-,20101221,-
933801,10599442,AHOS_RS00010,AHOS_RS00010,Ahos_0002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200830,-
933801,10599443,AHOS_RS00015,AHOS_RS00015,Ahos_0003,-,-,-,4a-hydroxytetrahydrobiopterin dehydratase,protein-coding,-,-,-,4a-hydroxytetrahydrobiopterin dehydratase,20190827,-
933801,10599444,AHOS_RS00020,AHOS_RS00020,Ahos_0004,-,-,-,gamma-glutamylcyclotransferase,protein-coding,-,-,-,gamma-glutamylcyclotransferase,20190827,-
933801,10599445,AHOS_RS00025,AHOS_RS00025,Ahos_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599446,AHOS_RS00030,AHOS_RS00030,Ahos_0006,-,-,-,NfeD family protein,protein-coding,-,-,-,NfeD family protein,20200905,-
933801,10599447,AHOS_RS00035,AHOS_RS00035,Ahos_0007,-,-,-,thermopsin family protease,protein-coding,-,-,-,thermopsin family protease,20200830,-
933801,10599448,AHOS_RS00040,AHOS_RS00040,Ahos_0008,-,-,-,slipin family protein,protein-coding,-,-,-,slipin family protein,20200905,-
933801,10599449,AHOS_RS00045,AHOS_RS00045,Ahos_0009,-,-,-,rhodanese-like domain-containing protein,protein-coding,-,-,-,rhodanese-like domain-containing protein,20190827,-
933801,10599450,AHOS_RS00050,AHOS_RS00050,Ahos_0010,-,-,-,DUF2203 domain-containing protein,protein-coding,-,-,-,DUF2203 domain-containing protein,20200830,-
933801,10599451,AHOS_RS00055,AHOS_RS00055,Ahos_0011,-,-,-,4Fe-4S binding protein,protein-coding,-,-,-,4Fe-4S binding protein,20200830,-
933801,10599452,AHOS_RS00060,AHOS_RS00060,Ahos_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599453,AHOS_RS00065,AHOS_RS00065,Ahos_0013,-,-,-,M1 family metallopeptidase,protein-coding,-,-,-,M1 family metallopeptidase,20210529,-
933801,10599454,AHOS_RS00070,AHOS_RS00070,Ahos_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
933801,10599455,AHOS_RS00075,AHOS_RS00075,Ahos_0015,-,-,-,radical SAM/SPASM domain-containing protein,protein-coding,-,-,-,radical SAM/SPASM domain-containing protein,20190827,-
933801,10599456,AHOS_RS00085,AHOS_RS00085,Ahos_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599457,AHOS_RS00090,AHOS_RS00090,Ahos_0017,-,-,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20190827,-
933801,10599458,AHOS_RS00095,AHOS_RS00095,Ahos_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599459,AHOS_RS00100,AHOS_RS00100,Ahos_0019,-,-,-,TenA family protein,protein-coding,-,-,-,TenA family protein,20190827,-
933801,10599460,AHOS_RS00105,AHOS_RS00105,Ahos_0020,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20190827,-
933801,10599461,AHOS_RS00110,AHOS_RS00110,Ahos_0021,-,-,-,thioredoxin domain-containing protein,protein-coding,-,-,-,thioredoxin domain-containing protein,20190827,-
933801,10599462,AHOS_RS00115,AHOS_RS00115,Ahos_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599463,AHOS_RS00120,AHOS_RS00120,Ahos_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599464,AHOS_RS00125,AHOS_RS00125,Ahos_0024,-,-,-,DUF5591 domain-containing protein,protein-coding,-,-,-,DUF5591 domain-containing protein,20200830,-
933801,10599465,AHOS_RS00130,AHOS_RS00130,Ahos_0025,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20190827,-
933801,10599466,AHOS_RS00135,AHOS_RS00135,Ahos_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599467,AHOS_RS00140,AHOS_RS00140,Ahos_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
