#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656572,60327540,2,I5H28_gp002,SEA_DONKEYKONG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2656572,60327541,3,I5H28_gp003,SEA_DONKEYKONG_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2656572,60327542,4,I5H28_gp004,SEA_DONKEYKONG_4,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201129,-
2656572,60327543,5,I5H28_gp005,SEA_DONKEYKONG_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210424,-
2656572,60327544,6,I5H28_gp006,SEA_DONKEYKONG_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2656572,60327545,7,I5H28_gp007,SEA_DONKEYKONG_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2656572,60327546,8,I5H28_gp008,SEA_DONKEYKONG_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2656572,60327547,9,I5H28_gp009,SEA_DONKEYKONG_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656572,60327548,10,I5H28_gp010,SEA_DONKEYKONG_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2656572,60327549,11,I5H28_gp011,SEA_DONKEYKONG_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2656572,60327550,13,I5H28_gp012,SEA_DONKEYKONG_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656572,60327551,13,I5H28_gp013,SEA_DONKEYKONG_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2656572,60327552,15,I5H28_gp015,SEA_DONKEYKONG_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656572,60327553,16,I5H28_gp016,SEA_DONKEYKONG_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656572,60327554,17,I5H28_gp017,SEA_DONKEYKONG_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656572,60327555,18,I5H28_gp018,SEA_DONKEYKONG_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2656572,60327556,19,I5H28_gp019,SEA_DONKEYKONG_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2656572,60327557,20,I5H28_gp020,SEA_DONKEYKONG_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
