#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041413,40091951,FDI73_gp001,FDI73_gp001,CPT_Melville_001,-,-,-,rIIa-like protector from prophage-induced early lysis,protein-coding,-,-,-,rIIa-like protector from prophage-induced early lysis,20200910,-
2041413,40091952,FDI73_gp002,FDI73_gp002,CPT_Melville_002,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091953,FDI73_gp003,FDI73_gp003,CPT_Melville_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091954,FDI73_gp004,FDI73_gp004,CPT_Melville_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091955,FDI73_gp005,FDI73_gp005,CPT_Melville_005,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20200910,-
2041413,40091956,FDI73_gp006,FDI73_gp006,CPT_Melville_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091957,FDI73_gp007,FDI73_gp007,CPT_Melville_007,-,-,-,putative regulatory protein,protein-coding,-,-,-,putative regulatory protein,20200910,-
2041413,40091958,FDI73_gp008,FDI73_gp008,CPT_Melville_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091959,FDI73_gp009,FDI73_gp009,CPT_Melville_009,-,-,-,cef-like protein,protein-coding,-,-,-,cef-like protein,20200910,-
2041413,40091960,FDI73_gp010,FDI73_gp010,CPT_Melville_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091961,FDI73_gp011,FDI73_gp011,CPT_Melville_011,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
2041413,40091962,FDI73_gp012,FDI73_gp012,CPT_Melville_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091963,FDI73_gp013,FDI73_gp013,CPT_Melville_013,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201026,-
2041413,40091964,FDI73_gp014,FDI73_gp014,CPT_Melville_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091965,FDI73_gp015,FDI73_gp015,CPT_Melville_015,-,-,-,activator of RNaseE,protein-coding,-,-,-,activator of RNaseE,20200910,-
2041413,40091966,FDI73_gp016,FDI73_gp016,CPT_Melville_016,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20200910,-
2041413,40091967,FDI73_gp017,FDI73_gp017,CPT_Melville_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091968,FDI73_gp018,FDI73_gp018,CPT_Melville_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091969,FDI73_gp019,FDI73_gp019,CPT_Melville_019,-,-,-,Srh-like transcriptional modulator,protein-coding,-,-,-,Srh-like transcriptional modulator,20200910,-
2041413,40091970,FDI73_gp020,FDI73_gp020,CPT_Melville_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091971,FDI73_gp021,FDI73_gp021,CPT_Melville_021,-,-,-,Soc-like small outer capsid protein,protein-coding,-,-,-,Soc-like small outer capsid protein,20200910,-
2041413,40091972,FDI73_gp022,FDI73_gp022,CPT_Melville_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091973,FDI73_gp023,FDI73_gp023,CPT_Melville_023,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20200910,-
2041413,40091974,FDI73_gp024,FDI73_gp024,CPT_Melville_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091975,FDI73_gp025,FDI73_gp025,CPT_Melville_025,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
2041413,40091976,FDI73_gp026,FDI73_gp026,CPT_Melville_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2041413,40091977,FDI73_gp027,FDI73_gp027,CPT_Melville_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
