#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912318,40072990,FDH16_gp001,FDH16_gp001,-,-,-,-,deoxynucleoside-5'-monophosphatase,protein-coding,-,-,-,deoxynucleoside-5'-monophosphatase,20200910,-
1912318,40072991,FDH16_gt002,FDH16_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40072992,FDH16_gp149,FDH16_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40072993,FDH16_gp148,FDH16_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40072994,FDH16_gt005,FDH16_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40072995,FDH16_gt006,FDH16_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40072996,FDH16_gt007,FDH16_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40072997,FDH16_gp146,FDH16_gp146,-,-,-,-,cilia- and flagella-associated protein 74,protein-coding,-,-,-,cilia- and flagella-associated protein 74,20200910,-
1912318,40072998,FDH16_gt009,FDH16_gt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40072999,FDH16_gt010,FDH16_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073000,FDH16_gp143,FDH16_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073001,FDH16_gt012,FDH16_gt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073002,FDH16_gt013,FDH16_gt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073003,FDH16_gt014,FDH16_gt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073004,FDH16_gt015,FDH16_gt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073005,FDH16_gt016,FDH16_gt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073006,FDH16_gt017,FDH16_gt017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073007,FDH16_gt018,FDH16_gt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073008,FDH16_gt019,FDH16_gt019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1912318,40073009,FDH16_gp141,FDH16_gp141,-,-,-,-,sensor histidine kinase,protein-coding,-,-,-,sensor histidine kinase,20200910,-
1912318,40073010,FDH16_gp138,FDH16_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073011,FDH16_gp137,FDH16_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073012,FDH16_gp002,FDH16_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073013,FDH16_gp003,FDH16_gp003,-,-,-,-,A1 protein,protein-coding,-,-,-,A1 protein,20201221,-
1912318,40073014,FDH16_gp004,FDH16_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073015,FDH16_gp005,FDH16_gp005,-,-,-,-,A2 protein,protein-coding,-,-,-,A2 protein,20200910,-
1912318,40073016,FDH16_gp006,FDH16_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073017,FDH16_gp007,FDH16_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073018,FDH16_gp008,FDH16_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073019,FDH16_gp009,FDH16_gp009,-,-,-,-,restriction endonuclease subunit R,protein-coding,-,-,-,restriction endonuclease subunit R,20201221,-
1912318,40073020,FDH16_gp010,FDH16_gp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073021,FDH16_gp011,FDH16_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073022,FDH16_gp012,FDH16_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073023,FDH16_gp013,FDH16_gp013,-,-,-,-,S9 family peptidase,protein-coding,-,-,-,S9 family peptidase,20201221,-
1912318,40073024,FDH16_gp014,FDH16_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1912318,40073025,FDH16_gp015,FDH16_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
