#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
430498,22908785,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Arthrobotrys haptotyla; Dactylaria haptotyla; Dactylaria sclerohypha; Dactylella sclerohypha; Monacrosporium haptotylum; Monacrosporium sclerohyphum).,other,-,-,-,-,20210222,-
430498,39710820,trnT(tgt),E6U01_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710821,trnE(ttc),E6U01_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710822,trnM(cat),E6U01_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710823,trnM(cat),E6U01_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710824,trnL(taa),E6U01_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710825,trnA(tgc),E6U01_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710826,trnF(gaa),E6U01_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710827,trnL(tag),E6U01_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710828,trnQ(ttg),E6U01_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710829,trnR(tct),E6U01_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710830,nad1,E6U01_mgp19,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20190604,-
430498,39710831,trnV(tac),E6U01_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710832,trnN(gtt),E6U01_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710833,trnC(gca),E6U01_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710834,cox1,E6U01_mgp18,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20190604,-
430498,39710835,trnR(acg),E6U01_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
430498,39710836,rnpB,E6U01_mgs01,-,-,MT,-,ncRNA,ncRNA,-,-,-,-,20200909,-
430498,39710837,orf629,E6U01_mgp17,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190411,-
430498,39710838,rps3,E6U01_mgp16,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20190604,-
430498,39710839,orf590,E6U01_mgp15,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20190411,-
