#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
322855,5076550,XPXV15_gp49,XPXV15_gp49,-,-,-,-,putative thymidylate synthase complementing protein,protein-coding,-,-,-,putative thymidylate synthase complementing protein,20201220,-
322855,5076551,XPXV15_gp03,XPXV15_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076552,XPXV15_gp32,XPXV15_gp32,-,-,-,-,possible DNA ligase,protein-coding,-,-,-,possible DNA ligase,20201220,-
322855,5076553,XPXV15_gp04,XPXV15_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076554,XPXV15_gp78,XPXV15_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076555,XPXV15_gp13,XPXV15_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076556,XPXV15_gp27,XPXV15_gp27,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
322855,5076557,XPXV15_gp53,XPXV15_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076558,XPXV15_gp37,XPXV15_gp37,-,-,-,-,putative DNA polymerase subunit,protein-coding,-,-,-,putative DNA polymerase subunit,20201220,-
322855,5076559,XPXV15_gp34,XPXV15_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076560,XPXV15_gp25,XPXV15_gp25,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201220,-
322855,5076561,XPXV15_gp09,XPXV15_gp09,-,-,-,-,putative phage structural protein,protein-coding,-,-,-,putative phage structural protein,20201220,-
322855,5076562,XPXV15_gp26,XPXV15_gp26,-,-,-,-,holin,protein-coding,-,-,-,holin,20201220,-
322855,5076563,XPXV15_gp47,XPXV15_gp47,-,-,-,-,possible DNA binding protein,protein-coding,-,-,-,possible DNA binding protein,20201220,-
322855,5076564,XPXV15_gp33,XPXV15_gp33,-,-,-,-,putative DNA dependent DNA polymerase,protein-coding,-,-,-,putative DNA dependent DNA polymerase,20201220,-
322855,5076565,XPXV15_gp50,XPXV15_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076566,XPXV15_gp15,XPXV15_gp15,-,-,-,-,possible peptidoglycan binding protein,protein-coding,-,-,-,possible peptidoglycan binding protein,20201220,-
322855,5076567,XPXV15_gp59,XPXV15_gp59,-,-,-,-,probable NUDIX hydrolase,protein-coding,-,-,-,probable NUDIX hydrolase,20201220,-
322855,5076568,XPXV15_gp61,XPXV15_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
322855,5076569,XPXV15_gp39,XPXV15_gp39,-,-,-,-,putative cabamoyl transferase,protein-coding,-,-,-,putative cabamoyl transferase,20201220,-
322855,5076570,XPXV15_gp38,XPXV15_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
