#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392248,36540034,P168DRAFT_10038,P168DRAFT_10038,-,-,Unknown,-,Golgi apparatus membrane protein tvp18,protein-coding,-,-,-,Golgi apparatus membrane protein tvp18,20180512,-
1392248,36540035,P168DRAFT_1004,P168DRAFT_1004,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540036,P168DRAFT_10052,P168DRAFT_10052,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540038,P168DRAFT_10095,P168DRAFT_10095,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540040,P168DRAFT_10127,P168DRAFT_10127,-,-,Unknown,-,hemolysin-III channel protein Izh2,protein-coding,-,-,-,hemolysin-III channel protein Izh2,20180512,-
1392248,36540041,P168DRAFT_10274,P168DRAFT_10274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540045,P168DRAFT_103150,P168DRAFT_103150,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540046,P168DRAFT_1039,P168DRAFT_1039,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540047,P168DRAFT_104467,P168DRAFT_104467,-,-,Unknown,-,major facilitator superfamily transporter,protein-coding,-,-,-,major facilitator superfamily transporter,20180512,-
1392248,36540048,P168DRAFT_104615,P168DRAFT_104615,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540049,P168DRAFT_105187,P168DRAFT_105187,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540050,P168DRAFT_105221,P168DRAFT_105221,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540051,P168DRAFT_105362,P168DRAFT_105362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540052,P168DRAFT_105438,P168DRAFT_105438,-,-,Unknown,-,DNase I-like protein,protein-coding,-,-,-,DNase I-like protein,20180512,-
1392248,36540053,P168DRAFT_105552,P168DRAFT_105552,-,-,Unknown,-,phenylacetyl-CoA ligase,protein-coding,-,-,-,phenylacetyl-CoA ligase,20180512,-
1392248,36540054,P168DRAFT_106513,P168DRAFT_106513,-,-,Unknown,-,putative importin 13,protein-coding,-,-,-,putative importin 13,20180512,-
1392248,36540055,P168DRAFT_106646,P168DRAFT_106646,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540056,P168DRAFT_107071,P168DRAFT_107071,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540057,P168DRAFT_107244,P168DRAFT_107244,-,-,Unknown,-,ADP-ribose pyrophosphatase,protein-coding,-,-,-,ADP-ribose pyrophosphatase,20180512,-
1392248,36540058,P168DRAFT_107258,P168DRAFT_107258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540059,P168DRAFT_107295,P168DRAFT_107295,-,-,Unknown,-,tRNA a64-2'-o-ribosylphosphate transferase,protein-coding,-,-,-,tRNA a64-2'-o-ribosylphosphate transferase,20180512,-
1392248,36540060,P168DRAFT_107473,P168DRAFT_107473,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540061,P168DRAFT_107499,P168DRAFT_107499,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540062,P168DRAFT_107729,P168DRAFT_107729,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540063,P168DRAFT_107927,P168DRAFT_107927,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540064,P168DRAFT_107931,P168DRAFT_107931,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540065,P168DRAFT_108007,P168DRAFT_108007,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540066,P168DRAFT_1087,P168DRAFT_1087,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540067,P168DRAFT_108975,P168DRAFT_108975,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540068,P168DRAFT_10901,P168DRAFT_10901,-,-,Unknown,-,putative Rho GTPase Rho 2,protein-coding,-,-,-,putative Rho GTPase Rho 2,20180512,-
1392248,36540069,P168DRAFT_109581,P168DRAFT_109581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540070,P168DRAFT_10993,P168DRAFT_10993,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540071,P168DRAFT_110063,P168DRAFT_110063,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540072,P168DRAFT_110383,P168DRAFT_110383,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540073,P168DRAFT_110516,P168DRAFT_110516,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540074,P168DRAFT_110567,P168DRAFT_110567,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540075,P168DRAFT_110610,P168DRAFT_110610,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540076,P168DRAFT_111164,P168DRAFT_111164,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540077,P168DRAFT_111230,P168DRAFT_111230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540078,P168DRAFT_111269,P168DRAFT_111269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540079,P168DRAFT_111272,P168DRAFT_111272,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540080,P168DRAFT_11130,P168DRAFT_11130,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540081,P168DRAFT_111432,P168DRAFT_111432,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540082,P168DRAFT_112193,P168DRAFT_112193,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540083,P168DRAFT_112231,P168DRAFT_112231,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540084,P168DRAFT_112377,P168DRAFT_112377,-,-,Unknown,-,two-component osmosensing histidine kinase,protein-coding,-,-,-,two-component osmosensing histidine kinase,20180512,-
1392248,36540085,P168DRAFT_112643,P168DRAFT_112643,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540086,P168DRAFT_112767,P168DRAFT_112767,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540087,P168DRAFT_112790,P168DRAFT_112790,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540088,P168DRAFT_113107,P168DRAFT_113107,-,-,Unknown,-,cyclic nucleotide-binding domain protein,protein-coding,-,-,-,cyclic nucleotide-binding domain protein,20180512,-
1392248,36540089,P168DRAFT_113180,P168DRAFT_113180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540090,P168DRAFT_113300,P168DRAFT_113300,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540091,P168DRAFT_113312,P168DRAFT_113312,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540092,P168DRAFT_113543,P168DRAFT_113543,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540093,P168DRAFT_113620,P168DRAFT_113620,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540094,P168DRAFT_113667,P168DRAFT_113667,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20180512,-
1392248,36540095,P168DRAFT_113698,P168DRAFT_113698,-,-,Unknown,-,Pkinase-domain-containing protein,protein-coding,-,-,-,Pkinase-domain-containing protein,20180512,-
1392248,36540096,P168DRAFT_113812,P168DRAFT_113812,-,-,Unknown,-,KH domain RNA-binding protein,protein-coding,-,-,-,KH domain RNA-binding protein,20180512,-
1392248,36540097,P168DRAFT_113912,P168DRAFT_113912,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540098,P168DRAFT_114152,P168DRAFT_114152,-,-,Unknown,-,casein kinase I hhp1,protein-coding,-,-,-,casein kinase I hhp1,20180512,-
1392248,36540099,P168DRAFT_114258,P168DRAFT_114258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540100,P168DRAFT_114320,P168DRAFT_114320,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540101,P168DRAFT_114366,P168DRAFT_114366,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540102,P168DRAFT_115348,P168DRAFT_115348,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540103,P168DRAFT_115595,P168DRAFT_115595,-,-,Unknown,-,putative mitotic spindle biogenesis protein Spc19,protein-coding,-,-,-,putative mitotic spindle biogenesis protein Spc19,20180512,-
1392248,36540104,P168DRAFT_11566,P168DRAFT_11566,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540105,P168DRAFT_115733,P168DRAFT_115733,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540106,P168DRAFT_115770,P168DRAFT_115770,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20180512,-
1392248,36540107,P168DRAFT_115844,P168DRAFT_115844,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540108,P168DRAFT_116012,P168DRAFT_116012,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540109,P168DRAFT_116134,P168DRAFT_116134,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540110,P168DRAFT_116471,P168DRAFT_116471,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540111,P168DRAFT_116645,P168DRAFT_116645,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540112,P168DRAFT_116703,P168DRAFT_116703,-,-,Unknown,-,phytanoyl-CoA dioxygenase,protein-coding,-,-,-,phytanoyl-CoA dioxygenase,20180512,-
1392248,36540113,P168DRAFT_11687,P168DRAFT_11687,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540114,P168DRAFT_116906,P168DRAFT_116906,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540115,P168DRAFT_117022,P168DRAFT_117022,-,-,Unknown,-,putative camp-dependent protein kinase catalytic subunit,protein-coding,-,-,-,putative camp-dependent protein kinase catalytic subunit,20180512,-
1392248,36540116,P168DRAFT_117119,P168DRAFT_117119,-,-,Unknown,-,"putative alpha-1,6-mannosyltransferase subunit",protein-coding,-,-,-,"putative alpha-1,6-mannosyltransferase subunit",20180512,-
1392248,36540117,P168DRAFT_117133,P168DRAFT_117133,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540118,P168DRAFT_117143,P168DRAFT_117143,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540119,P168DRAFT_117252,P168DRAFT_117252,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540120,P168DRAFT_117305,P168DRAFT_117305,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36540121,P168DRAFT_117306,P168DRAFT_117306,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
