#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656617,64871045,2,KIV58_gp002,SEA_YECEY3_2,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210515,-
2656617,64871046,3,KIV58_gp003,SEA_YECEY3_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871047,4,KIV58_gp004,SEA_YECEY3_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210515,-
2656617,64871048,6,KIV58_gp006,SEA_YECEY3_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2656617,64871049,7,KIV58_gt001,SEA_YECEY3_7,-,-,-,tRNA,tRNA,-,-,-,-,20210515,-
2656617,64871050,8,KIV58_gt002,SEA_YECEY3_8,-,-,-,tRNA,tRNA,-,-,-,-,20210515,-
2656617,64871051,9,KIV58_gp100,SEA_YECEY3_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871052,1,KIV58_gp001,SEA_YECEY3_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871053,10,KIV58_gp099,SEA_YECEY3_10,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210515,-
2656617,64871054,11,KIV58_gp098,SEA_YECEY3_11,-,-,-,holin,protein-coding,-,-,-,holin,20210515,-
2656617,64871055,12,KIV58_gp097,SEA_YECEY3_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210515,-
2656617,64871056,13,KIV58_gp096,SEA_YECEY3_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210515,-
2656617,64871057,14,KIV58_gp095,SEA_YECEY3_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210515,-
2656617,64871058,15,KIV58_gp094,SEA_YECEY3_15,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210515,-
2656617,64871059,16,KIV58_gp093,SEA_YECEY3_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210515,-
2656617,64871060,17,KIV58_gp092,SEA_YECEY3_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871061,18,KIV58_gp091,SEA_YECEY3_18,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210515,-
2656617,64871062,19,KIV58_gp090,SEA_YECEY3_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871063,20,KIV58_gp089,SEA_YECEY3_20,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210515,-
2656617,64871064,21,KIV58_gp088,SEA_YECEY3_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871065,22,KIV58_gp087,SEA_YECEY3_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210515,-
2656617,64871066,23,KIV58_gp086,SEA_YECEY3_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210515,-
2656617,64871067,25,KIV58_gp084,SEA_YECEY3_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
2656617,64871068,26,KIV58_gp083,SEA_YECEY3_26,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210515,-
2656617,64871069,24,KIV58_gp085,SEA_YECEY3_24,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210515,-
2656617,64871070,27,KIV58_gp082,SEA_YECEY3_27,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2656617,64871071,28,KIV58_gp081,SEA_YECEY3_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871072,29,KIV58_gp080,SEA_YECEY3_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2656617,64871073,30,KIV58_gp079,SEA_YECEY3_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871074,31,KIV58_gp078,SEA_YECEY3_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210515,-
2656617,64871075,32,KIV58_gp077,SEA_YECEY3_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210515,-
2656617,64871076,33,KIV58_gp076,SEA_YECEY3_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871077,34,KIV58_gp075,SEA_YECEY3_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
2656617,64871078,35,KIV58_gp074,SEA_YECEY3_35,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210515,-
2656617,64871079,36,KIV58_gp073,SEA_YECEY3_36,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210515,-
2656617,64871080,37,KIV58_gp072,SEA_YECEY3_37,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210515,-
2656617,64871081,38,KIV58_gp071,SEA_YECEY3_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210515,-
