#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656545,55624646,2,HWC82_gp02,PBI_YIKES_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200905,-
2656545,55624647,3,HWC82_gp03,PBI_YIKES_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2656545,55624648,4,HWC82_gp04,PBI_YIKES_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624649,5,HWC82_gp05,PBI_YIKES_5,-,-,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20200620,-
2656545,55624650,6,HWC82_gp06,PBI_YIKES_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624651,8,HWC82_gp08,PBI_YIKES_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624652,9,HWC82_gp09,PBI_YIKES_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624653,10,HWC82_gp10,PBI_YIKES_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624654,11,HWC82_gp11,PBI_YIKES_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624655,12,HWC82_gp12,PBI_YIKES_12,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210424,-
2656545,55624656,13,HWC82_gp13,PBI_YIKES_13,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20200620,-
2656545,55624657,14,HWC82_gp14,PBI_YIKES_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624658,15,HWC82_gp15,PBI_YIKES_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624659,16,HWC82_gp16,PBI_YIKES_16,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200620,-
2656545,55624660,17,HWC82_gp17,PBI_YIKES_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624661,18,HWC82_gp18,PBI_YIKES_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624662,20,HWC82_gp20,PBI_YIKES_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624663,21,HWC82_gp21,PBI_YIKES_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624664,22,HWC82_gp22,PBI_YIKES_22,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200620,-
2656545,55624665,23,HWC82_gp23,PBI_YIKES_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624666,24,HWC82_gp24,PBI_YIKES_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624667,26,HWC82_gp26,PBI_YIKES_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624668,27,HWC82_gp27,PBI_YIKES_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624669,28,HWC82_gp28,PBI_YIKES_28,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210424,-
2656545,55624670,29,HWC82_gp29,PBI_YIKES_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2656545,55624671,30,HWC82_gp30,PBI_YIKES_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2656545,55624672,31,HWC82_gp31,PBI_YIKES_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200620,-
2656545,55624673,32,HWC82_gp32,PBI_YIKES_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624674,33,HWC82_gp33,PBI_YIKES_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624675,34,HWC82_gp34,PBI_YIKES_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624676,35,HWC82_gp35,PBI_YIKES_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624677,36,HWC82_gp36,PBI_YIKES_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2656545,55624678,37,HWC82_gp37,PBI_YIKES_37,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2656545,55624679,38,HWC82_gp38,PBI_YIKES_38,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2656545,55624680,39,HWC82_gp39,PBI_YIKES_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
