#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1071505,18990190,2,GUMBIE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
1071505,18990191,3,GUMBIE_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210313,-
1071505,18990192,4,GUMBIE_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1071505,18990193,5,GUMBIE_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1071505,18990194,6,GUMBIE_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210313,-
1071505,18990195,7,GUMBIE_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1071505,18990196,8,GUMBIE_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1071505,18990197,9,GUMBIE_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1071505,18990198,10,GUMBIE_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1071505,18990199,11,GUMBIE_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1071505,18990200,12,GUMBIE_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1071505,18990201,13,GUMBIE_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1071505,18990202,14,GUMBIE_14,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210313,-
1071505,18990203,15,GUMBIE_15,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1071505,18990204,16,GUMBIE_16,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1071505,18990205,17,GUMBIE_17,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1071505,18990206,18,GUMBIE_18,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1071505,18990207,19,GUMBIE_19,-,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20210313,-
1071505,18990208,20,GUMBIE_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990209,21,GUMBIE_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990210,22,GUMBIE_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990211,23,GUMBIE_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990212,24,GUMBIE_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990213,25,GUMBIE_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990214,27,GUMBIE_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990215,28,GUMBIE_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990216,29,GUMBIE_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990217,30,GUMBIE_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1071505,18990218,31,GUMBIE_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1071505,18990219,32,GUMBIE_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1071505,18990220,33,GUMBIE_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1071505,18990221,34,GUMBIE_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990222,35,GUMBIE_35,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210129,-
1071505,18990223,36,GUMBIE_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990224,37,GUMBIE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990225,38,GUMBIE_38,-,-,-,-,PLA2-like domain protein,protein-coding,-,-,-,PLA2-like domain protein,20201220,-
1071505,18990226,42,GUMBIE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1071505,18990227,45,GUMBIE_45,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210129,-
1071505,18990228,46,GUMBIE_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
