#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
225725,1489093,BC1847,BC1847,-,-,-,-,"Transcriptional regulator, MerR family",protein-coding,-,-,-,"Transcriptional regulator, MerR family",20180815,-
225725,1489094,BC1848,BC1848,-,-,-,-,Prophage helix-turn-helix protein,protein-coding,-,-,-,Prophage helix-turn-helix protein,20180815,-
225725,1489095,BC1849,BC1849,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489096,BC1850,BC1850,-,-,-,-,Transcriptional regulator,protein-coding,-,-,-,Transcriptional regulator,20180815,-
225725,1489097,BC1851,BC1851,-,-,-,-,Transcriptional regulator,protein-coding,-,-,-,Transcriptional regulator,20180815,-
225725,1489098,BC1852,BC1852,-,-,-,-,Exonuclease SbcC,protein-coding,-,-,-,Exonuclease SbcC,20200926,-
225725,1489099,BC1853,BC1853,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489100,BC1854,BC1854,-,-,-,-,hypothetical Cytosolic Protein,protein-coding,-,-,-,hypothetical Cytosolic Protein,20180815,-
225725,1489101,BC1855,BC1855,-,-,-,-,Chromosome segregation ATPases,protein-coding,-,-,-,Chromosome segregation ATPases,20200926,-
225725,1489102,BC1856,BC1856,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489103,BC1857,BC1857,-,-,-,-,Exonuclease SbcD,protein-coding,-,-,-,Exonuclease SbcD,20200926,-
225725,1489104,BC1858,BC1858,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489105,BC1859,BC1859,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489106,BC1860,BC1860,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489107,BC1861,BC1861,-,-,-,-,DNA/RNA helicase (DEAD/DEAH box family),protein-coding,-,-,-,DNA/RNA helicase (DEAD/DEAH box family),20180815,-
225725,1489108,BC1862,BC1862,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489109,BC1863,BC1863,-,-,-,-,MCM domain family protein,protein-coding,-,-,-,MCM domain family protein,20180815,-
225725,1489110,BC1864,BC1864,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20180815,-
225725,1489111,BC1865,BC1865,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489112,BC1866,BC1866,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489113,BC1867,BC1867,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489114,BC1868,BC1868,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489115,BC1869,BC1869,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489116,BC1870,BC1870,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489117,BC1871,BC1871,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489118,BC1872,BC1872,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489119,BC1873,BC1873,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489120,BC1874,BC1874,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489121,BC1875,BC1875,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489122,BC1876,BC1876,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489123,BC1877,BC1877,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489124,BC1878,BC1878,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489125,BC1879,BC1879,-,-,-,-,Transglycosylase,protein-coding,-,-,-,Transglycosylase,20180815,-
225725,1489126,BC1880,BC1880,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
225725,1489127,BC1881,BC1881,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489128,BC1882,BC1882,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489129,BC1883,BC1883,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489130,BC1884,BC1884,-,-,-,-,Transcription state regulatory protein abrB,protein-coding,-,-,-,Transcription state regulatory protein abrB,20200926,-
225725,1489131,BC1885,BC1885,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489132,BC1886,BC1886,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
225725,1489133,BC1887,BC1887,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
