#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483674,65117190,2,KNU22_gp02,SEA_STULTUS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483674,65117191,3,KNU22_gp03,SEA_STULTUS_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117192,4,KNU22_gp04,SEA_STULTUS_4,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2483674,65117193,5,KNU22_gp05,SEA_STULTUS_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117194,6,KNU22_gp06,SEA_STULTUS_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117195,7,KNU22_gp07,SEA_STULTUS_7,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483674,65117196,8,KNU22_gp08,SEA_STULTUS_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117197,9,KNU22_gp09,SEA_STULTUS_9,-,-,-,lipoprotein,protein-coding,-,-,-,lipoprotein,20210607,-
2483674,65117198,10,KNU22_gp10,SEA_STULTUS_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117199,11,KNU22_gp11,SEA_STULTUS_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117200,12,KNU22_gp12,SEA_STULTUS_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2483674,65117201,13,KNU22_gp13,SEA_STULTUS_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117202,14,KNU22_gp14,SEA_STULTUS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483674,65117203,15,KNU22_gp15,SEA_STULTUS_15,-,-,-,MuF-like minor capsid protein,protein-coding,-,-,-,MuF-like minor capsid protein,20210607,-
