#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743826,65127181,KNV11_gp02,KNV11_gp02,elemo63D_phanotate2,-,-,-,A1-like protein,protein-coding,-,-,-,A1-like protein,20210608,-
2743826,65127182,KNV11_gp03,KNV11_gp03,elemo63D_phanotate3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127183,KNV11_gp04,KNV11_gp04,elemo63D_phanotate4,-,-,-,protein of unknown function DUF1064,protein-coding,-,-,-,protein of unknown function DUF1064,20210608,-
2743826,65127184,KNV11_gp05,KNV11_gp05,elemo63D_phanotate5,-,-,-,L-ribulose-5-phosphate 3-epimerase,protein-coding,-,-,-,L-ribulose-5-phosphate 3-epimerase,20210608,-
2743826,65127185,KNV11_gp06,KNV11_gp06,elemo63D_phanotate6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127186,KNV11_gp07,KNV11_gp07,elemo63D_phanotate7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127187,KNV11_gp08,KNV11_gp08,elemo63D_phanotate8,-,-,-,dihydroorotase,protein-coding,-,-,-,dihydroorotase,20210608,-
2743826,65127188,KNV11_gp09,KNV11_gp09,elemo63D_phanotate9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127189,KNV11_gp10,KNV11_gp10,elemo63D_phanotate10,-,-,-,calcineurin-like phosphoesterase,protein-coding,-,-,-,calcineurin-like phosphoesterase,20210608,-
2743826,65127190,KNV11_gp11,KNV11_gp11,elemo63D_phanotate11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127191,KNV11_gp12,KNV11_gp12,elemo63D_phanotate12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127192,KNV11_gp13,KNV11_gp13,elemo63D_phanotate13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127193,KNV11_gp14,KNV11_gp14,elemo63D_phanotate14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127194,KNV11_gp15,KNV11_gp15,elemo63D_phanotate15,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210608,-
2743826,65127195,KNV11_gp16,KNV11_gp16,elemo63D_phanotate16,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20210608,-
2743826,65127196,KNV11_gp17,KNV11_gp17,elemo63D_phanotate17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127197,KNV11_gt01,KNV11_gt01,elemo63D_tRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2743826,65127198,KNV11_gp87,KNV11_gp87,elemo63D_phanotate19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127199,KNV11_gp86,KNV11_gp86,elemo63D_phanotate20,-,-,-,"ABC-type histidine transport system, ATPase component",protein-coding,-,-,-,"ABC-type histidine transport system, ATPase component",20210608,-
2743826,65127200,KNV11_gp85,KNV11_gp85,elemo63D_phanotate21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127201,KNV11_gp84,KNV11_gp84,elemo63D_phanotate22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127202,KNV11_gp83,KNV11_gp83,elemo63D_phanotate23,-,-,-,5'-3' exonuclease,protein-coding,-,-,-,5'-3' exonuclease,20210608,-
2743826,65127203,KNV11_gp82,KNV11_gp82,elemo63D_phanotate24,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20210608,-
2743826,65127204,KNV11_gp81,KNV11_gp81,elemo63D_phanotate25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127205,KNV11_gp80,KNV11_gp80,elemo63D_phanotate26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127206,KNV11_gp79,KNV11_gp79,elemo63D_phanotate27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127207,KNV11_gp78,KNV11_gp78,elemo63D_phanotate28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127208,KNV11_gp77,KNV11_gp77,elemo63D_phanotate29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127209,KNV11_gp76,KNV11_gp76,elemo63D_phanotate30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127210,KNV11_gp75,KNV11_gp75,elemo63D_phanotate31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127211,KNV11_gp74,KNV11_gp74,elemo63D_phanotate32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127212,KNV11_gp73,KNV11_gp73,elemo63D_phanotate33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127213,KNV11_gp72,KNV11_gp72,elemo63D_phanotate34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127214,KNV11_gp71,KNV11_gp71,elemo63D_phanotate35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127215,KNV11_gp70,KNV11_gp70,elemo63D_phanotate36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127216,KNV11_gp69,KNV11_gp69,elemo63D_phanotate37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127217,KNV11_gp68,KNV11_gp68,elemo63D_phanotate38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127218,KNV11_gp67,KNV11_gp67,elemo63D_phanotate39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127219,KNV11_gp66,KNV11_gp66,elemo63D_phanotate40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127220,KNV11_gp65,KNV11_gp65,elemo63D_phanotate41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127221,KNV11_gp64,KNV11_gp64,elemo63D_phanotate42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127222,KNV11_gp63,KNV11_gp63,elemo63D_phanotate43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743826,65127223,KNV11_gp62,KNV11_gp62,elemo63D_phanotate44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
