#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655015,25102487,LAUCHELLY_2,LAUCHELLY_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655015,25102488,LAUCHELLY_3,LAUCHELLY_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1655015,25102489,LAUCHELLY_4,LAUCHELLY_4,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1655015,25102490,LAUCHELLY_5,LAUCHELLY_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1655015,25102491,LAUCHELLY_6,LAUCHELLY_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1655015,25102492,LAUCHELLY_7,LAUCHELLY_7,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655015,25102493,LAUCHELLY_8,LAUCHELLY_8,-,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20201221,-
1655015,25102494,LAUCHELLY_9,LAUCHELLY_9,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655015,25102495,LAUCHELLY_10,LAUCHELLY_10,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655015,25102496,LAUCHELLY_11,LAUCHELLY_11,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1655015,25102497,LAUCHELLY_13,LAUCHELLY_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655015,25102498,LAUCHELLY_14,LAUCHELLY_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655015,25102499,LAUCHELLY_12,LAUCHELLY_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1655015,25102500,LAUCHELLY_15,LAUCHELLY_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655015,25102501,LAUCHELLY_16,LAUCHELLY_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655015,25102502,LAUCHELLY_17,LAUCHELLY_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655015,25102503,LAUCHELLY_18,LAUCHELLY_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655015,25102504,LAUCHELLY_19,LAUCHELLY_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655015,25102505,LAUCHELLY_20,LAUCHELLY_20,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655015,25102506,LAUCHELLY_21,LAUCHELLY_21,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655015,25102507,LAUCHELLY_22,LAUCHELLY_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102508,LAUCHELLY_23,LAUCHELLY_23,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655015,25102509,LAUCHELLY_24,LAUCHELLY_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655015,25102510,LAUCHELLY_26,LAUCHELLY_26,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655015,25102511,LAUCHELLY_27,LAUCHELLY_27,-,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
