#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1927017,64408931,KEM13_gp02,KEM13_gp02,K1pha_2,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20210425,-
1927017,64408932,KEM13_gp03,KEM13_gp03,K1pha_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408933,KEM13_gp04,KEM13_gp04,K1pha_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408934,KEM13_gp05,KEM13_gp05,K1pha_5,-,-,-,DNA methylase family protein,protein-coding,-,-,-,DNA methylase family protein,20210425,-
1927017,64408935,KEM13_gp06,KEM13_gp06,K1pha_6,-,-,-,DNA polymerase A family protein,protein-coding,-,-,-,DNA polymerase A family protein,20210425,-
1927017,64408936,KEM13_gp07,KEM13_gp07,K1pha_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408937,KEM13_gp08,KEM13_gp08,K1pha_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408938,KEM13_gp09,KEM13_gp09,K1pha_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408939,KEM13_gp10,KEM13_gp10,K1pha_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408940,KEM13_gp11,KEM13_gp11,K1pha_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408941,KEM13_gp12,KEM13_gp12,K1pha_12,-,-,-,helix-turn-helix motif domain protein,protein-coding,-,-,-,helix-turn-helix motif domain protein,20210425,-
1927017,64408942,KEM13_gp13,KEM13_gp13,K1pha_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408943,KEM13_gp14,KEM13_gp14,K1pha_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408944,KEM13_gp15,KEM13_gp15,K1pha_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
1927017,64408945,KEM13_gp16,KEM13_gp16,K1pha_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
