#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815510,29056520,BIZ66_gp02,BIZ66_gp02,PLE3_2,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1815510,29056521,BIZ66_gp03,BIZ66_gp03,PLE3_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1815510,29056522,BIZ66_gp04,BIZ66_gp04,PLE3_4,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1815510,29056523,BIZ66_gp05,BIZ66_gp05,PLE3_5,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20201221,-
1815510,29056524,BIZ66_gp06,BIZ66_gp06,PLE3_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056525,BIZ66_gp07,BIZ66_gp07,PLE3_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1815510,29056526,BIZ66_gp08,BIZ66_gp08,PLE3_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056527,BIZ66_gp09,BIZ66_gp09,PLE3_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056528,BIZ66_gp10,BIZ66_gp10,PLE3_10,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201221,-
1815510,29056529,BIZ66_gp11,BIZ66_gp11,PLE3_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056530,BIZ66_gp12,BIZ66_gp12,PLE3_12,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20200629,-
1815510,29056531,BIZ66_gp13,BIZ66_gp13,PLE3_13,-,-,-,DUF3168 domain-containing protein,protein-coding,-,-,-,DUF3168 domain-containing protein,20201221,-
1815510,29056532,BIZ66_gp14,BIZ66_gp14,PLE3_14,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1815510,29056533,BIZ66_gp15,BIZ66_gp15,PLE3_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1815510,29056534,BIZ66_gp16,BIZ66_gp16,PLE3_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1815510,29056535,BIZ66_gp17,BIZ66_gp17,PLE3_17,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1815510,29056536,BIZ66_gp18,BIZ66_gp18,PLE3_18,-,-,-,tail family protein,protein-coding,-,-,-,tail family protein,20201221,-
1815510,29056537,BIZ66_gp19,BIZ66_gp19,PLE3_19,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1815510,29056538,BIZ66_gp20,BIZ66_gp20,PLE3_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056539,BIZ66_gp21,BIZ66_gp21,PLE3_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056540,BIZ66_gp22,BIZ66_gp22,PLE3_22,-,-,-,holin,protein-coding,-,-,-,holin,20201010,-
1815510,29056541,BIZ66_gp23,BIZ66_gp23,PLE3_23,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20210403,-
1815510,29056542,BIZ66_gp24,BIZ66_gp24,PLE3_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056543,BIZ66_gp25,BIZ66_gp25,PLE3_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056544,BIZ66_gp26,BIZ66_gp26,PLE3_26,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210212,-
1815510,29056545,BIZ66_gp27,BIZ66_gp27,PLE3_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056546,BIZ66_gp28,BIZ66_gp28,PLE3_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056547,BIZ66_gp29,BIZ66_gp29,PLE3_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056548,BIZ66_gp30,BIZ66_gp30,PLE3_30,-,-,-,pyridoxamine 5'-phosphate oxidase family protein,protein-coding,-,-,-,pyridoxamine 5'-phosphate oxidase family protein,20201221,-
1815510,29056549,BIZ66_gp31,BIZ66_gp31,PLE3_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056550,BIZ66_gp32,BIZ66_gp32,PLE3_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056551,BIZ66_gp33,BIZ66_gp33,PLE3_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056552,BIZ66_gp34,BIZ66_gp34,PLE3_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056553,BIZ66_gp35,BIZ66_gp35,PLE3_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056554,BIZ66_gp36,BIZ66_gp36,PLE3_36,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1815510,29056555,BIZ66_gp37,BIZ66_gp37,PLE3_37,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1815510,29056556,BIZ66_gp38,BIZ66_gp38,PLE3_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056557,BIZ66_gp39,BIZ66_gp39,PLE3_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815510,29056558,BIZ66_gp40,BIZ66_gp40,PLE3_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
