#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1208236,14297133,G181_gp02,G181_gp02,-,-,-,-,putative phage integrase,protein-coding,-,-,-,putative phage integrase,20201221,-
1208236,14297134,G181_gp03,G181_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297135,G181_gp04,G181_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297136,G181_gp05,G181_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297137,G181_gp06,G181_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297138,G181_gp07,G181_gp07,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1208236,14297139,G181_gp08,G181_gp08,-,-,-,-,"putative DNA helicase, putative DNA repair protein",protein-coding,-,-,-,"putative DNA helicase, putative DNA repair protein",20201221,-
1208236,14297140,G181_gp09,G181_gp09,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20201221,-
1208236,14297141,G181_gp10,G181_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297142,G181_gp11,G181_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297143,G181_gp12,G181_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297144,G181_gp13,G181_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297145,G181_gp14,G181_gp14,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1208236,14297146,G181_gp15,G181_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297147,G181_gp16,G181_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297148,G181_gp17,G181_gp17,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1208236,14297149,G181_gp18,G181_gp18,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1208236,14297150,G181_gp19,G181_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297151,G181_gp20,G181_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297152,G181_gp21,G181_gp21,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1208236,14297153,G181_gp22,G181_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297154,G181_gp23,G181_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297155,G181_gp24,G181_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297156,G181_gp25,G181_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297157,G181_gp26,G181_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297158,G181_gp27,G181_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297159,G181_gp28,G181_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297160,G181_gp29,G181_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297161,G181_gp30,G181_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14297162,G181_gp01,G181_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1208236,14311142,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Helicobacter pylori bacteriophage KHP30).,other,-,-,-,-,20200513,-
