#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2249779,65069181,KMC73_gp02,KMC73_gp02,WANDERER_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2249779,65069182,KMC73_gp03,KMC73_gp03,WANDERER_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2249779,65069183,KMC73_gp04,KMC73_gp04,WANDERER_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210607,-
2249779,65069184,KMC73_gp05,KMC73_gp05,WANDERER_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2249779,65069185,KMC73_gp06,KMC73_gp06,WANDERER_6,-,-,-,head-tail connector complex protein,protein-coding,-,-,-,head-tail connector complex protein,20210607,-
2249779,65069186,KMC73_gp07,KMC73_gp07,WANDERER_7,-,-,-,putative head-tail connector complex protein,protein-coding,-,-,-,putative head-tail connector complex protein,20210607,-
2249779,65069187,KMC73_gp08,KMC73_gp08,WANDERER_8,-,-,-,head-tail connector complex protein,protein-coding,-,-,-,head-tail connector complex protein,20210607,-
2249779,65069188,KMC73_gp09,KMC73_gp09,WANDERER_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069189,KMC73_gp10,KMC73_gp10,WANDERER_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069190,KMC73_gp11,KMC73_gp11,WANDERER_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210607,-
2249779,65069191,KMC73_gp12,KMC73_gp12,WANDERER_13,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210607,-
2249779,65069192,KMC73_gp14,KMC73_gp14,WANDERER_14,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210607,-
2249779,65069193,KMC73_gp15,KMC73_gp15,WANDERER_15,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2249779,65069194,KMC73_gp16,KMC73_gp16,WANDERER_16,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2249779,65069195,KMC73_gp17,KMC73_gp17,WANDERER_17,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210607,-
2249779,65069196,KMC73_gp18,KMC73_gp18,WANDERER_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069197,KMC73_gp19,KMC73_gp19,WANDERER_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069198,KMC73_gp20,KMC73_gp20,WANDERER_20,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210607,-
2249779,65069199,KMC73_gp21,KMC73_gp21,WANDERER_21,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210607,-
2249779,65069200,KMC73_gp22,KMC73_gp22,WANDERER_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069201,KMC73_gp23,KMC73_gp23,WANDERER_23,-,-,-,transposase,protein-coding,-,-,-,transposase,20210607,-
2249779,65069202,KMC73_gp24,KMC73_gp24,WANDERER_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069203,KMC73_gp25,KMC73_gp25,WANDERER_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069204,KMC73_gp26,KMC73_gp26,WANDERER_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069205,KMC73_gp27,KMC73_gp27,WANDERER_27,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20210607,-
2249779,65069206,KMC73_gp28,KMC73_gp28,WANDERER_28,-,-,-,toxin,protein-coding,-,-,-,toxin,20210607,-
2249779,65069207,KMC73_gp29,KMC73_gp29,WANDERER_29,-,-,-,helix-turn-helix domain XRE family transcriptional regulator,protein-coding,-,-,-,helix-turn-helix domain XRE family transcriptional regulator,20210607,-
2249779,65069208,KMC73_gp30,KMC73_gp30,WANDERER_30,-,-,-,helix-turn-helix domain Cro/C1-type transcriptional regulator,protein-coding,-,-,-,helix-turn-helix domain Cro/C1-type transcriptional regulator,20210607,-
2249779,65069209,KMC73_gp31,KMC73_gp31,WANDERER_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2249779,65069210,KMC73_gp32,KMC73_gp32,WANDERER_32,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210607,-
2249779,65069211,KMC73_gp33,KMC73_gp33,WANDERER_33,-,-,-,putative excisionase,protein-coding,-,-,-,putative excisionase,20210607,-
2249779,65069212,KMC73_gp34,KMC73_gp34,WANDERER_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
