#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340821,16546460,2,PBI_VELVETEEN_2,-,-,-,-,small subunit of terminase,protein-coding,-,-,-,small subunit of terminase,20200629,-
1340821,16546461,3,PBI_VELVETEEN_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1340821,16546462,4,PBI_VELVETEEN_4,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1340821,16546463,5,PBI_VELVETEEN_5,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200629,-
1340821,16546464,6,PBI_VELVETEEN_6,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200629,-
1340821,16546465,7,PBI_VELVETEEN_7,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1340821,16546466,8,PBI_VELVETEEN_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200629,-
1340821,16546467,9,PBI_VELVETEEN_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200629,-
1340821,16546468,10,PBI_VELVETEEN_10,-,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20210406,-
1340821,16546469,11,PBI_VELVETEEN_11,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200629,-
1340821,16546470,12,PBI_VELVETEEN_12,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20200629,-
1340821,16546471,14,PBI_VELVETEEN_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1340821,16546472,15,PBI_VELVETEEN_15,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
1340821,16546473,13,PBI_VELVETEEN_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200629,-
1340821,16546474,16,PBI_VELVETEEN_16,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200629,-
1340821,16546475,17,PBI_VELVETEEN_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1340821,16546476,18,PBI_VELVETEEN_18,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200629,-
